Series	Test_Fold	Model	Descriptors	Sex	Metric	Value
Weighted	2	XGBClassifier	ECFP	Unknown	Specificity	0.50457
Weighted	2	XGBClassifier	ECFP	Female	Specificity	0.49779
Unweighted	2	XGBClassifier	ECFP	Male	Specificity	0.62442
Unweighted	2	XGBClassifier	ECFP	Unknown	Specificity	0.48465
Unweighted	2	XGBClassifier	ECFP	Female	Specificity	0.49749
Weighted	1	XGBClassifier	ECFP	Unknown	HarmRS	0.56967
Weighted	1	XGBClassifier	ECFP	Male	HarmRS	0.48007
Weighted	1	XGBClassifier	ECFP	Female	HarmRS	0.57711
Unweighted	1	XGBClassifier	ECFP	Unknown	HarmRS	0.54664
Unweighted	1	XGBClassifier	ECFP	Male	HarmRS	0.44242
Unweighted	1	XGBClassifier	ECFP	Female	HarmRS	0.53842
Weighted	3	XGBClassifier	ECFP	Male	HarmRS	0.50641
Weighted	3	XGBClassifier	ECFP	Unknown	HarmRS	0.57348
Weighted	3	XGBClassifier	ECFP	Female	HarmRS	0.54285
Unweighted	3	XGBClassifier	ECFP	Male	HarmRS	0.44621
Unweighted	3	XGBClassifier	ECFP	Unknown	HarmRS	0.54129
Unweighted	3	XGBClassifier	ECFP	Female	HarmRS	0.52702
Weighted	4	XGBClassifier	ECFP	Female	HarmRS	0.58256
Weighted	4	XGBClassifier	ECFP	Unknown	HarmRS	0.59348
Weighted	4	XGBClassifier	ECFP	Male	HarmRS	0.55659
Unweighted	4	XGBClassifier	ECFP	Female	HarmRS	0.57743
Unweighted	4	XGBClassifier	ECFP	Unknown	HarmRS	0.58794
Unweighted	4	XGBClassifier	ECFP	Male	HarmRS	0.5465
Weighted	0	XGBClassifier	ECFP	Male	HarmRS	0.4749
Weighted	0	XGBClassifier	ECFP	Unknown	HarmRS	0.58558
Weighted	0	XGBClassifier	ECFP	Female	HarmRS	0.59916
Unweighted	0	XGBClassifier	ECFP	Male	HarmRS	0.4563
Unweighted	0	XGBClassifier	ECFP	Unknown	HarmRS	0.5658
Unweighted	0	XGBClassifier	ECFP	Female	HarmRS	0.57122
Weighted	2	XGBClassifier	ECFP	Male	HarmRS	0.62306
Weighted	2	XGBClassifier	ECFP	Unknown	HarmRS	0.60714
Weighted	2	XGBClassifier	ECFP	Female	HarmRS	0.59602
Unweighted	2	XGBClassifier	ECFP	Male	HarmRS	0.57401
Unweighted	2	XGBClassifier	ECFP	Unknown	HarmRS	0.57493
Unweighted	2	XGBClassifier	ECFP	Female	HarmRS	0.57458
Weighted	1	XGBClassifier	ECFP	Unknown	ROC AUC	0.59823
Weighted	1	XGBClassifier	ECFP	Male	ROC AUC	0.51838
Weighted	1	XGBClassifier	ECFP	Female	ROC AUC	0.61542
Unweighted	1	XGBClassifier	ECFP	Unknown	ROC AUC	0.56196
Unweighted	1	XGBClassifier	ECFP	Male	ROC AUC	0.51393
Unweighted	1	XGBClassifier	ECFP	Female	ROC AUC	0.56613
Weighted	3	XGBClassifier	ECFP	Male	ROC AUC	0.59403
Weighted	3	XGBClassifier	ECFP	Unknown	ROC AUC	0.58929
Weighted	3	XGBClassifier	ECFP	Female	ROC AUC	0.55487
Unweighted	3	XGBClassifier	ECFP	Male	ROC AUC	0.55493
Unweighted	3	XGBClassifier	ECFP	Unknown	ROC AUC	0.5525
Unweighted	3	XGBClassifier	ECFP	Female	ROC AUC	0.53344
Weighted	4	XGBClassifier	ECFP	Female	ROC AUC	0.5982
Weighted	4	XGBClassifier	ECFP	Unknown	ROC AUC	0.60734
Weighted	4	XGBClassifier	ECFP	Male	ROC AUC	0.61202
Unweighted	4	XGBClassifier	ECFP	Female	ROC AUC	0.6053
Unweighted	4	XGBClassifier	ECFP	Unknown	ROC AUC	0.60985
Unweighted	4	XGBClassifier	ECFP	Male	ROC AUC	0.59506
Weighted	0	XGBClassifier	ECFP	Male	ROC AUC	0.62429
Weighted	0	XGBClassifier	ECFP	Unknown	ROC AUC	0.6162
Weighted	0	XGBClassifier	ECFP	Female	ROC AUC	0.62718
Unweighted	0	XGBClassifier	ECFP	Male	ROC AUC	0.60467
Unweighted	0	XGBClassifier	ECFP	Unknown	ROC AUC	0.59515
Unweighted	0	XGBClassifier	ECFP	Female	ROC AUC	0.60733
Weighted	2	XGBClassifier	ECFP	Male	ROC AUC	0.671
