Series	Test_Fold	Model	Descriptors	Age	Metric	Value
Weighted	1	XGBClassifier	ECFP	Elderly	Recall	0.334
Weighted	1	XGBClassifier	ECFP	Unknown	Recall	0.60392
Weighted	1	XGBClassifier	ECFP	Children	Recall	0.50322
Weighted	1	XGBClassifier	ECFP	Adolescent	Recall	0.75167
Weighted	1	XGBClassifier	ECFP	Adult	Recall	0.50419
Unweighted	1	XGBClassifier	ECFP	Elderly	Recall	0.27597
Unweighted	1	XGBClassifier	ECFP	Unknown	Recall	0.53929
Unweighted	1	XGBClassifier	ECFP	Children	Recall	0.45887
Unweighted	1	XGBClassifier	ECFP	Adolescent	Recall	0.7109
Unweighted	1	XGBClassifier	ECFP	Adult	Recall	0.43017
Weighted	3	XGBClassifier	ECFP	Elderly	Recall	0.30683
Weighted	3	XGBClassifier	ECFP	Unknown	Recall	0.6326
Weighted	3	XGBClassifier	ECFP	Adolescent	Recall	0.63437
Weighted	3	XGBClassifier	ECFP	Children	Recall	0.53589
Weighted	3	XGBClassifier	ECFP	Adult	Recall	0.53376
Unweighted	3	XGBClassifier	ECFP	Elderly	Recall	0.26108
Unweighted	3	XGBClassifier	ECFP	Unknown	Recall	0.55415
Unweighted	3	XGBClassifier	ECFP	Adolescent	Recall	0.60079
Unweighted	3	XGBClassifier	ECFP	Children	Recall	0.4878
Unweighted	3	XGBClassifier	ECFP	Adult	Recall	0.45526
Weighted	4	XGBClassifier	ECFP	Adolescent	Recall	0.65372
Weighted	4	XGBClassifier	ECFP	Unknown	Recall	0.63814
Weighted	4	XGBClassifier	ECFP	Adult	Recall	0.57644
Weighted	4	XGBClassifier	ECFP	Elderly	Recall	0.38824
Weighted	4	XGBClassifier	ECFP	Children	Recall	0.61562
Unweighted	4	XGBClassifier	ECFP	Adolescent	Recall	0.63799
Unweighted	4	XGBClassifier	ECFP	Unknown	Recall	0.62974
Unweighted	4	XGBClassifier	ECFP	Adult	Recall	0.56029
Unweighted	4	XGBClassifier	ECFP	Elderly	Recall	0.41993
Unweighted	4	XGBClassifier	ECFP	Children	Recall	0.62172
Weighted	0	XGBClassifier	ECFP	Adult	Recall	0.47219
Weighted	0	XGBClassifier	ECFP	Unknown	Recall	0.58516
Weighted	0	XGBClassifier	ECFP	Elderly	Recall	0.28853
Weighted	0	XGBClassifier	ECFP	Children	Recall	0.58673
Weighted	0	XGBClassifier	ECFP	Adolescent	Recall	0.64509
Unweighted	0	XGBClassifier	ECFP	Adult	Recall	0.43866
Unweighted	0	XGBClassifier	ECFP	Unknown	Recall	0.53808
Unweighted	0	XGBClassifier	ECFP	Elderly	Recall	0.27039
Unweighted	0	XGBClassifier	ECFP	Children	Recall	0.55466
Unweighted	0	XGBClassifier	ECFP	Adolescent	Recall	0.61194
Weighted	2	XGBClassifier	ECFP	Adolescent	Recall	0.86618
Weighted	2	XGBClassifier	ECFP	Elderly	Recall	0.51236
Weighted	2	XGBClassifier	ECFP	Children	Recall	0.75889
Weighted	2	XGBClassifier	ECFP	Unknown	Recall	0.79327
Weighted	2	XGBClassifier	ECFP	Adult	Recall	0.69995
Unweighted	2	XGBClassifier	ECFP	Adolescent	Recall	0.8459
Unweighted	2	XGBClassifier	ECFP	Elderly	Recall	0.43508
Unweighted	2	XGBClassifier	ECFP	Children	Recall	0.72453
Unweighted	2	XGBClassifier	ECFP	Unknown	Recall	0.71966
Unweighted	2	XGBClassifier	ECFP	Adult	Recall	0.62483
Weighted	1	XGBClassifier	ECFP	Elderly	Specificity	0.66794
Weighted	1	XGBClassifier	ECFP	Unknown	Specificity	0.57628
Weighted	1	XGBClassifier	ECFP	Children	Specificity	0.39578
Weighted	1	XGBClassifier	ECFP	Adolescent	Specificity	0.5309
Weighted	1	XGBClassifier	ECFP	Adult	Specificity	0.62013
Unweighted	1	XGBClassifier	ECFP	Elderly	Specificity	0.72106
Unweighted	1	XGBClassifier	ECFP	Unknown	Specificity	0.58563
Unweighted	1	XGBClassifier	ECFP	Children	Specificity	0.42609
Unweighted	1	XGBClassifier	ECFP	Adolescent	Specificity	0.40441
Unweighted	1	XGBClassifier	ECFP	Adult	Specificity	0.64973
Weighted	3	XGBClassifier	ECFP	Elderly	Specificity	0.80237
Weighted	3	XGBClassifier	ECFP	Unknown	Specificity	0.57314
Weighted	3	XGBClassifier	ECFP	Adolescent	Specificity	0.31248
Weighted	3	XGBClassifier	ECFP	Children	Specificity	0.68191
Weighted	3	XGBClassifier	ECFP	Adult	Specificity	0.54939
Unweighted	3	XGBClassifier	ECFP	Elderly	Specificity	0.81304
Unweighted	3	XGBClassifier	ECFP	Unknown	Specificity	0.56178
Unweighted	3	XGBClassifier	ECFP	Adolescent	Specificity	0.33333
Unweighted	3	XGBClassifier	ECFP	Children	Specificity	0.67857
Unweighted	3	XGBClassifier	ECFP	Adult	Specificity	0.58368
Weighted	4	XGBClassifier	ECFP	Adolescent	Specificity	0.3141
Weighted	4	XGBClassifier	ECFP	Unknown	Specificity	0.59631
Weighted	4	XGBClassifier	ECFP	Adult	Specificity	0.57466
Weighted	4	XGBClassifier	ECFP	Elderly	Specificity	0.73488
Weighted	4	XGBClassifier	ECFP	Children	Specificity	0.42762
Unweighted	4	XGBClassifier	ECFP	Adolescent	Specificity	0.31683
Unweighted	4	XGBClassifier	ECFP	Unknown	Specificity	0.57437
Unweighted	4	XGBClassifier	ECFP	Adult	Specificity	0.56871
Unweighted	4	XGBClassifier	ECFP	Elderly	Specificity	0.72448
Unweighted	4	XGBClassifier	ECFP	Children	Specificity	0.41379
Weighted	0	XGBClassifier	ECFP	Adult	Specificity	0.65579
Weighted	0	XGBClassifier	ECFP	Unknown	Specificity	0.64963
Weighted	0	XGBClassifier	ECFP	Elderly	Specificity	0.82529
Weighted	0	XGBClassifier	ECFP	Children	Specificity	0.55807
Weighted	0	XGBClassifier	ECFP	Adolescent	Specificity	0.50572
Unweighted	0	XGBClassifier	ECFP	Adult	Specificity	0.66038
Unweighted	0	XGBClassifier	ECFP	Unknown	Specificity	0.6377
Unweighted	0	XGBClassifier	ECFP	Elderly	Specificity	0.81239
Unweighted	0	XGBClassifier	ECFP	Children	Specificity	0.55725
Unweighted	0	XGBClassifier	ECFP	Adolescent	Specificity	0.54348
Weighted	2	XGBClassifier	ECFP	Adolescent	Specificity	0.07462
Weighted	2	XGBClassifier	ECFP	Elderly	Specificity	0.67261
Weighted	2	XGBClassifier	ECFP	Children	Specificity	0.22297
Weighted	2	XGBClassifier	ECFP	Unknown	Specificity	0.50729
Weighted	2	XGBClassifier	ECFP	Adult	Specificity	0.61438
Unweighted	2	XGBClassifier	ECFP	Adolescent	Specificity	0.125
Unweighted	2	XGBClassifier	ECFP	Elderly	Specificity	0.69597
Unweighted	2	XGBClassifier	ECFP	Children	Specificity	0.26984
Unweighted	2	XGBClassifier	ECFP	Unknown	Specificity	0.48115
Unweighted	2	XGBClassifier	ECFP	Adult	Specificity	0.59434
Weighted	1	XGBClassifier	ECFP	Elderly	HarmRS	0.44532
Weighted	1	XGBClassifier	ECFP	Unknown	HarmRS	0.58978
Weighted	1	XGBClassifier	ECFP	Children	HarmRS	0.44308
Weighted	1	XGBClassifier	ECFP	Adolescent	HarmRS	0.62228
Weighted	1	XGBClassifier	ECFP	Adult	HarmRS	0.55618
Unweighted	1	XGBClassifier	ECFP	Elderly	HarmRS	0.39917
Unweighted	1	XGBClassifier	ECFP	Unknown	HarmRS	0.56151
Unweighted	1	XGBClassifier	ECFP	Children	HarmRS	0.44187
Unweighted	1	XGBClassifier	ECFP	Adolescent	HarmRS	0.51554
Unweighted	1	XGBClassifier	ECFP	Adult	HarmRS	0.51763
Weighted	3	XGBClassifier	ECFP	Elderly	HarmRS	0.44391
Weighted	3	XGBClassifier	ECFP	Unknown	HarmRS	0.6014
Weighted	3	XGBClassifier	ECFP	Adolescent	HarmRS	0.41871
Weighted	3	XGBClassifier	ECFP	Children	HarmRS	0.60014
Weighted	3	XGBClassifier	ECFP	Adult	HarmRS	0.54146
Unweighted	3	XGBClassifier	ECFP	Elderly	HarmRS	0.39525
Unweighted	3	XGBClassifier	ECFP	Unknown	HarmRS	0.55794
Unweighted	3	XGBClassifier	ECFP	Adolescent	HarmRS	0.42877
Unweighted	3	XGBClassifier	ECFP	Children	HarmRS	0.56759
Unweighted	3	XGBClassifier	ECFP	Adult	HarmRS	0.51153
Weighted	4	XGBClassifier	ECFP	Adolescent	HarmRS	0.42432
Weighted	4	XGBClassifier	ECFP	Unknown	HarmRS	0.61652
Weighted	4	XGBClassifier	ECFP	Adult	HarmRS	0.57555
Weighted	4	XGBClassifier	ECFP	Elderly	HarmRS	0.50807
Weighted	4	XGBClassifier	ECFP	Children	HarmRS	0.50468
Unweighted	4	XGBClassifier	ECFP	Adolescent	HarmRS	0.4234
Unweighted	4	XGBClassifier	ECFP	Unknown	HarmRS	0.60078
Unweighted	4	XGBClassifier	ECFP	Adult	HarmRS	0.56447
Unweighted	4	XGBClassifier	ECFP	Elderly	HarmRS	0.53168
Unweighted	4	XGBClassifier	ECFP	Children	HarmRS	0.49688
Weighted	0	XGBClassifier	ECFP	Adult	HarmRS	0.54904
Weighted	0	XGBClassifier	ECFP	Unknown	HarmRS	0.61572
Weighted	0	XGBClassifier	ECFP	Elderly	HarmRS	0.42758
Weighted	0	XGBClassifier	ECFP	Children	HarmRS	0.57204
Weighted	0	XGBClassifier	ECFP	Adolescent	HarmRS	0.56696
Unweighted	0	XGBClassifier	ECFP	Adult	HarmRS	0.52716
Unweighted	0	XGBClassifier	ECFP	Unknown	HarmRS	0.58367
Unweighted	0	XGBClassifier	ECFP	Elderly	HarmRS	0.40574
Unweighted	0	XGBClassifier	ECFP	Children	HarmRS	0.55595
Unweighted	0	XGBClassifier	ECFP	Adolescent	HarmRS	0.57568
Weighted	2	XGBClassifier	ECFP	Adolescent	HarmRS	0.13741
Weighted	2	XGBClassifier	ECFP	Elderly	HarmRS	0.58165
Weighted	2	XGBClassifier	ECFP	Children	HarmRS	0.34467
Weighted	2	XGBClassifier	ECFP	Unknown	HarmRS	0.61884
Weighted	2	XGBClassifier	ECFP	Adult	HarmRS	0.65438
Unweighted	2	XGBClassifier	ECFP	Adolescent	HarmRS	0.21781
Unweighted	2	XGBClassifier	ECFP	Elderly	HarmRS	0.53543
Unweighted	2	XGBClassifier	ECFP	Children	HarmRS	0.39323
Unweighted	2	XGBClassifier	ECFP	Unknown	HarmRS	0.57671
Unweighted	2	XGBClassifier	ECFP	Adult	HarmRS	0.60921
Weighted	1	XGBClassifier	ECFP	Elderly	ROC AUC	0.50336
Weighted	1	XGBClassifier	ECFP	Unknown	ROC AUC	0.61836
Weighted	1	XGBClassifier	ECFP	Children	ROC AUC	0.46094
Weighted	1	XGBClassifier	ECFP	Adolescent	ROC AUC	0.68755
Weighted	1	XGBClassifier	ECFP	Adult	ROC AUC	0.58933
Unweighted	1	XGBClassifier	ECFP	Elderly	ROC AUC	0.48686
Unweighted	1	XGBClassifier	ECFP	Unknown	ROC AUC	0.58341
Unweighted	1	XGBClassifier	ECFP	Children	ROC AUC	0.42104
Unweighted	1	XGBClassifier	ECFP	Adolescent	ROC AUC	0.59423
Unweighted	1	XGBClassifier	ECFP	Adult	ROC AUC	0.55413
Weighted	3	XGBClassifier	ECFP	Elderly	ROC AUC	0.56788
Weighted	3	XGBClassifier	ECFP	Unknown	ROC AUC	0.62281
Weighted	3	XGBClassifier	ECFP	Adolescent	ROC AUC	0.49856
Weighted	3	XGBClassifier	ECFP	Children	ROC AUC	0.61211
Weighted	3	XGBClassifier	ECFP	Adult	ROC AUC	0.55135
Unweighted	3	XGBClassifier	ECFP	Elderly	ROC AUC	0.54578
Unweighted	3	XGBClassifier	ECFP	Unknown	ROC AUC	0.57202
Unweighted	3	XGBClassifier	ECFP	Adolescent	ROC AUC	0.46921
Unweighted	3	XGBClassifier	ECFP	Children	ROC AUC	0.59059
Unweighted	3	XGBClassifier	ECFP	Adult	ROC AUC	0.51796
Weighted	4	XGBClassifier	ECFP	Adolescent	ROC AUC	0.55368
Weighted	4	XGBClassifier	ECFP	Unknown	ROC AUC	0.63846
Weighted	4	XGBClassifier	ECFP	Adult	ROC AUC	0.5793
Weighted	4	XGBClassifier	ECFP	Elderly	ROC AUC	0.57493
Weighted	4	XGBClassifier	ECFP	Children	ROC AUC	0.56874
Unweighted	4	XGBClassifier	ECFP	Adolescent	ROC AUC	0.53082
Unweighted	4	XGBClassifier	ECFP	Unknown	ROC AUC	0.62659
