Series	Test_Fold	Model	Descriptors	Metric	Value
Weighted	1	XGBClassifier	ChemBERTa	Recall	0.50509
Unweighted	1	XGBClassifier	ChemBERTa	Recall	0.46027
Weighted	3	XGBClassifier	ChemBERTa	Recall	0.53451
Unweighted	3	XGBClassifier	ChemBERTa	Recall	0.47462
Weighted	4	XGBClassifier	ChemBERTa	Recall	0.62284
Unweighted	4	XGBClassifier	ChemBERTa	Recall	0.59109
Weighted	0	XGBClassifier	ChemBERTa	Recall	0.54989
Unweighted	0	XGBClassifier	ChemBERTa	Recall	0.52187
Weighted	2	XGBClassifier	ChemBERTa	Recall	0.57685
Unweighted	2	XGBClassifier	ChemBERTa	Recall	0.54238
Weighted	1	XGBClassifier	RDKit	Recall	0.51771
Unweighted	1	XGBClassifier	RDKit	Recall	0.47953
Weighted	3	XGBClassifier	RDKit	Recall	0.56269
Unweighted	3	XGBClassifier	RDKit	Recall	0.52596
Weighted	4	XGBClassifier	RDKit	Recall	0.56609
Unweighted	4	XGBClassifier	RDKit	Recall	0.53491
Weighted	0	XGBClassifier	RDKit	Recall	0.49104
Unweighted	0	XGBClassifier	RDKit	Recall	0.4601
Weighted	2	XGBClassifier	RDKit	Recall	0.65298
Unweighted	2	XGBClassifier	RDKit	Recall	0.60148
Weighted	1	XGBClassifier	MACCS	Recall	0.52495
Unweighted	1	XGBClassifier	MACCS	Recall	0.48538
Weighted	3	XGBClassifier	MACCS	Recall	0.54099
Unweighted	3	XGBClassifier	MACCS	Recall	0.50058
Weighted	4	XGBClassifier	MACCS	Recall	0.56299
Unweighted	4	XGBClassifier	MACCS	Recall	0.51097
Weighted	0	XGBClassifier	MACCS	Recall	0.45566
Unweighted	0	XGBClassifier	MACCS	Recall	0.44942
Weighted	2	XGBClassifier	MACCS	Recall	0.67278
Unweighted	2	XGBClassifier	MACCS	Recall	0.59937
Weighted	1	XGBClassifier	Klek	Recall	0.37544
Unweighted	1	XGBClassifier	Klek	Recall	0.33093
