Series	Test_Fold	Model	Descriptors	Weight	Metric	Value
Weighted	4	XGBClassifier	Klek	Low	Recall	0.37076
Weighted	4	XGBClassifier	Klek	Average	Recall	0.37911
Weighted	4	XGBClassifier	Klek	Unknown	Recall	0.64684
Weighted	4	XGBClassifier	Klek	High	Recall	0.33775
Unweighted	4	XGBClassifier	Klek	Low	Recall	0.36102
Unweighted	4	XGBClassifier	Klek	Average	Recall	0.35559
Unweighted	4	XGBClassifier	Klek	Unknown	Recall	0.66499
Unweighted	4	XGBClassifier	Klek	High	Recall	0.29586
Weighted	0	XGBClassifier	Morgan	High	Recall	0.4665
Weighted	0	XGBClassifier	Morgan	Low	Recall	0.49678
Weighted	0	XGBClassifier	Morgan	Average	Recall	0.55195
Weighted	0	XGBClassifier	Morgan	Unknown	Recall	0.69354
Unweighted	0	XGBClassifier	Morgan	High	Recall	0.50528
Unweighted	0	XGBClassifier	Morgan	Low	Recall	0.54313
Unweighted	0	XGBClassifier	Morgan	Average	Recall	0.58188
Unweighted	0	XGBClassifier	Morgan	Unknown	Recall	0.70467
Weighted	2	XGBClassifier	Morgan	Average	Recall	0.42089
Weighted	2	XGBClassifier	Morgan	High	Recall	0.41466
Weighted	2	XGBClassifier	Morgan	Low	Recall	0.43015
Weighted	2	XGBClassifier	Morgan	Unknown	Recall	0.70721
Unweighted	2	XGBClassifier	Morgan	Average	Recall	0.40761
Unweighted	2	XGBClassifier	Morgan	High	Recall	0.39399
Unweighted	2	XGBClassifier	Morgan	Low	Recall	0.42661
Unweighted	2	XGBClassifier	Morgan	Unknown	Recall	0.72152
Weighted	1	XGBClassifier	Morgan	Average	Recall	0.29525
Weighted	1	XGBClassifier	Morgan	High	Recall	0.26113
Weighted	1	XGBClassifier	Morgan	Unknown	Recall	0.61273
Weighted	1	XGBClassifier	Morgan	Low	Recall	0.29958
Unweighted	1	XGBClassifier	Morgan	Average	Recall	0.30269
Unweighted	1	XGBClassifier	Morgan	High	Recall	0.28187
Unweighted	1	XGBClassifier	Morgan	Unknown	Recall	0.61823
Unweighted	1	XGBClassifier	Morgan	Low	Recall	0.3167
Weighted	3	XGBClassifier	Morgan	High	Recall	0.35763
Weighted	3	XGBClassifier	Morgan	Low	Recall	0.33849
Weighted	3	XGBClassifier	Morgan	Unknown	Recall	0.69546
Weighted	3	XGBClassifier	Morgan	Average	Recall	0.39859
Unweighted	3	XGBClassifier	Morgan	High	Recall	0.33942
Unweighted	3	XGBClassifier	Morgan	Low	Recall	0.30474
Unweighted	3	XGBClassifier	Morgan	Unknown	Recall	0.72069
Unweighted	3	XGBClassifier	Morgan	Average	Recall	0.36256
Weighted	4	XGBClassifier	Morgan	Low	Recall	0.42318
Weighted	4	XGBClassifier	Morgan	Unknown	Recall	0.71841
Weighted	4	XGBClassifier	Morgan	Average	Recall	0.48302
Weighted	4	XGBClassifier	Morgan	High	Recall	0.42529
Unweighted	4	XGBClassifier	Morgan	Low	Recall	0.38136
Unweighted	4	XGBClassifier	Morgan	Unknown	Recall	0.69521
Unweighted	4	XGBClassifier	Morgan	Average	Recall	0.41068
Unweighted	4	XGBClassifier	Morgan	High	Recall	0.36292
Weighted	0	XGBClassifier	ChemBERTa	Unknown	Recall	0.77892
Weighted	0	XGBClassifier	ChemBERTa	Average	Recall	0.57618
Weighted	0	XGBClassifier	ChemBERTa	High	Recall	0.4284
Weighted	0	XGBClassifier	ChemBERTa	Low	Recall	0.55558
Unweighted	0	XGBClassifier	ChemBERTa	Unknown	Recall	0.77735
Unweighted	0	XGBClassifier	ChemBERTa	Average	Recall	0.58347
Unweighted	0	XGBClassifier	ChemBERTa	High	Recall	0.45423
Unweighted	0	XGBClassifier	ChemBERTa	Low	Recall	0.5639
Weighted	2	XGBClassifier	ChemBERTa	Average	Recall	0.38768
Weighted	2	XGBClassifier	ChemBERTa	Low	Recall	0.38156
Weighted	2	XGBClassifier	ChemBERTa	Unknown	Recall	0.74006
Weighted	2	XGBClassifier	ChemBERTa	High	Recall	0.30464
Unweighted	2	XGBClassifier	ChemBERTa	Average	Recall	0.36957
Unweighted	2	XGBClassifier	ChemBERTa	Low	Recall	0.3594
Unweighted	2	XGBClassifier	ChemBERTa	Unknown	Recall	0.73939
Unweighted	2	XGBClassifier	ChemBERTa	High	Recall	0.28956
Weighted	4	XGBClassifier	ChemBERTa	Unknown	Recall	0.79999
Weighted	4	XGBClassifier	ChemBERTa	Low	Recall	0.49668
Weighted	4	XGBClassifier	ChemBERTa	Average	Recall	0.50949
Weighted	4	XGBClassifier	ChemBERTa	High	Recall	0.44604
Unweighted	4	XGBClassifier	ChemBERTa	Unknown	Recall	0.82704
Unweighted	4	XGBClassifier	ChemBERTa	Low	Recall	0.47627
Unweighted	4	XGBClassifier	ChemBERTa	Average	Recall	0.49917
Unweighted	4	XGBClassifier	ChemBERTa	High	Recall	0.42604
Weighted	3	XGBClassifier	ChemBERTa	Average	Recall	0.36847
Weighted	3	XGBClassifier	ChemBERTa	Unknown	Recall	0.75701
Weighted	3	XGBClassifier	ChemBERTa	Low	Recall	0.3608
Weighted	3	XGBClassifier	ChemBERTa	High	Recall	0.26369
Unweighted	3	XGBClassifier	ChemBERTa	Average	Recall	0.34739
Unweighted	3	XGBClassifier	ChemBERTa	Unknown	Recall	0.75259
Unweighted	3	XGBClassifier	ChemBERTa	Low	Recall	0.34672
Unweighted	3	XGBClassifier	ChemBERTa	High	Recall	0.27372
Weighted	1	XGBClassifier	ChemBERTa	Low	Recall	0.34863
Weighted	1	XGBClassifier	ChemBERTa	High	Recall	0.23182
Weighted	1	XGBClassifier	ChemBERTa	Average	Recall	0.35509
Weighted	1	XGBClassifier	ChemBERTa	Unknown	Recall	0.63632
Unweighted	1	XGBClassifier	ChemBERTa	Low	Recall	0.33563
Unweighted	1	XGBClassifier	ChemBERTa	High	Recall	0.27469
Unweighted	1	XGBClassifier	ChemBERTa	Average	Recall	0.37401
Unweighted	1	XGBClassifier	ChemBERTa	Unknown	Recall	0.63177
Weighted	0	XGBClassifier	CDDD	Low	Recall	0.46248
Weighted	0	XGBClassifier	CDDD	Average	Recall	0.49633
Weighted	0	XGBClassifier	CDDD	High	Recall	0.38723
Weighted	0	XGBClassifier	CDDD	Unknown	Recall	0.81454
Unweighted	0	XGBClassifier	CDDD	Low	Recall	0.48403
Unweighted	0	XGBClassifier	CDDD	Average	Recall	0.53418
Unweighted	0	XGBClassifier	CDDD	High	Recall	0.44014
Unweighted	0	XGBClassifier	CDDD	Unknown	Recall	0.81867
Weighted	1	XGBClassifier	CDDD	Unknown	Recall	0.6157
Weighted	1	XGBClassifier	CDDD	Average	Recall	0.33905
Weighted	1	XGBClassifier	CDDD	Low	Recall	0.3049
