Series	Test_Fold	Model	Descriptors	Metric	Value
Weighted	1	XGBClassifier	ECFP	Recall	0.51769
Unweighted	1	XGBClassifier	ECFP	Recall	0.45683
Weighted	3	XGBClassifier	ECFP	Recall	0.52175
Unweighted	3	XGBClassifier	ECFP	Recall	0.45683
Weighted	4	XGBClassifier	ECFP	Recall	0.56667
Unweighted	4	XGBClassifier	ECFP	Recall	0.56815
Weighted	0	XGBClassifier	ECFP	Recall	0.49103
Unweighted	0	XGBClassifier	ECFP	Recall	0.4601
Weighted	2	XGBClassifier	ECFP	Recall	0.71337
Unweighted	2	XGBClassifier	ECFP	Recall	0.64931
Weighted	1	XGBClassifier	ECFP	Specificity	0.60058
Unweighted	1	XGBClassifier	ECFP	Specificity	0.61775
Weighted	3	XGBClassifier	ECFP	Specificity	0.62889
Unweighted	3	XGBClassifier	ECFP	Specificity	0.63525
Weighted	4	XGBClassifier	ECFP	Specificity	0.61561
Unweighted	4	XGBClassifier	ECFP	Specificity	0.5974
Weighted	0	XGBClassifier	ECFP	Specificity	0.68609
Unweighted	0	XGBClassifier	ECFP	Specificity	0.68244
Weighted	2	XGBClassifier	ECFP	Specificity	0.54858
Unweighted	2	XGBClassifier	ECFP	Specificity	0.53387
Weighted	1	XGBClassifier	ECFP	HarmRS	0.55607
Unweighted	1	XGBClassifier	ECFP	HarmRS	0.52524
Weighted	3	XGBClassifier	ECFP	HarmRS	0.57033
Unweighted	3	XGBClassifier	ECFP	HarmRS	0.53146
Weighted	4	XGBClassifier	ECFP	HarmRS	0.59013
Unweighted	4	XGBClassifier	ECFP	HarmRS	0.58241
Weighted	0	XGBClassifier	ECFP	HarmRS	0.5724
Unweighted	0	XGBClassifier	ECFP	HarmRS	0.54963
Weighted	2	XGBClassifier	ECFP	HarmRS	0.62022
Unweighted	2	XGBClassifier	ECFP	HarmRS	0.58596
Weighted	1	XGBClassifier	ECFP	ROC AUC	0.58097
Unweighted	1	XGBClassifier	ECFP	ROC AUC	0.54927
Weighted	3	XGBClassifier	ECFP	ROC AUC	0.5896
Unweighted	3	XGBClassifier	ECFP	ROC AUC	0.55528
Weighted	4	XGBClassifier	ECFP	ROC AUC	0.6088
Unweighted	4	XGBClassifier	ECFP	ROC AUC	0.60621
Weighted	0	XGBClassifier	ECFP	ROC AUC	0.62304
Unweighted	0	XGBClassifier	ECFP	ROC AUC	0.60353
Weighted	2	XGBClassifier	ECFP	ROC AUC	0.69134
Unweighted	2	XGBClassifier	ECFP	ROC AUC	0.63303
Weighted	1	XGBClassifier	ECFP	PRC AUC	0.59764
Unweighted	1	XGBClassifier	ECFP	PRC AUC	0.64408
Weighted	3	XGBClassifier	ECFP	PRC AUC	0.57847
Unweighted	3	XGBClassifier	ECFP	PRC AUC	0.64738
Weighted	4	XGBClassifier	ECFP	PRC AUC	0.55571
Unweighted	4	XGBClassifier	ECFP	PRC AUC	0.65072
Weighted	0	XGBClassifier	ECFP	PRC AUC	0.56823
Unweighted	0	XGBClassifier	ECFP	PRC AUC	0.65858
Weighted	2	XGBClassifier	ECFP	PRC AUC	0.67247
Unweighted	2	XGBClassifier	ECFP	PRC AUC	0.71995
Weighted	1	XGBClassifier	ECFP	Brier	0.27931
Unweighted	1	XGBClassifier	ECFP	Brier	0.27931
Weighted	3	XGBClassifier	ECFP	Brier	0.28154
Unweighted	3	XGBClassifier	ECFP	Brier	0.28154
Weighted	4	XGBClassifier	ECFP	Brier	0.25097
Unweighted	4	XGBClassifier	ECFP	Brier	0.25097
Weighted	0	XGBClassifier	ECFP	Brier	0.25197
Unweighted	0	XGBClassifier	ECFP	Brier	0.25197
Weighted	2	XGBClassifier	ECFP	Brier	0.2376
Unweighted	2	XGBClassifier	ECFP	Brier	0.2376
