metric	null_hypothesis	null_rejected	outcome	effect_size	w_stat	p_value	r_stat	p_value_adj	null_rejected_adj
HarmRS	PRR == IC	True	PRR > IC	Large	21903.0	2.7220515093512764e-101	0.86663013198155	7.349539075248447e-100	True
HarmRS	ROR == IC	True	ROR > IC	Large	28277.0	1.3662685860363584e-92	0.8278181181592608	3.552298323694532e-91	True
HarmRS	Primary == Secondary	True	Primary > Secondary	Large	67883.5	2.050328916367355e-47	0.5866496171469455	5.125822290918387e-46	True
PRC AUC	Mono == Primary	True	Mono < Primary	Medium	90992.0	4.056577516653855e-28	-0.4459393219771353	9.735786039969252e-27	True
ROC AUC	Mono == Primary	True	Mono < Primary	Medium	92486.5	7.416057012578041e-27	-0.4354469013719116	1.7056931128929494e-25	True
HarmRS	Mono == Secondary	True	Mono > Secondary	Medium	93335.0	1.882574570481627e-26	0.4316725274390708	4.141664055059579e-25	True
ROC AUC	Mono == Secondary	True	Mono < Secondary	Medium	113310.0	2.1047975788665332e-14	-0.3100424715714481	4.42007491561972e-13	True
HarmRS	Cred == Cvas	True	Cred > Cvas	Small	119088.5	1.2308391424246298e-11	0.2748565252469896	2.4616782848492595e-10	True
PRC AUC	Primary == Secondary	True	Primary > Secondary	Small	123799.5	1.28474699946147e-09	0.2461707083162077	2.441019298976793e-08	True
PRC AUC	Mono == Secondary	True	Mono < Secondary	Small	128540.5	8.436424771790151e-08	-0.2173022179598422	1.5185564589222272e-06	True
HarmRS	PRR == ROR	True	PRR > ROR	Small	136318.5	2.791481666969192e-05	0.1699410878202493	0.0004745518833847626	True
PRC AUC	Card == Cvas	True	Card > Cvas	Small	136324.5	2.8025820376655965e-05	0.1699045531351326	0.0004745518833847626	True
PRC AUC	Cred == Cvas	True	Cred > Cvas	Small	136730.5	3.659482712259979e-05	0.1674323727755704	0.0005489224068389968	True
HarmRS	Cred == Card	True	Cred > Card	Small	137797.0	9.065978652663634e-05	0.1588640144058355	0.0012692370113729088	True
ROC AUC	Cred == Cvas	True	Cred > Cvas	Small	139191.0	0.000170866494476	0.1524501073206375	0.002221264428188	True
ROC AUC	Card == Cvas	True	Card > Cvas	Small	138857.5	0.0001734708785287	0.1523905446443559	0.002221264428188	True
HarmRS	Card == Cvas	True	Card > Cvas	Small	141666.5	0.0007067199846497	0.1373765051529129	0.0077739198311467	True
HarmRS	Mono == Primary	True	Mono < Primary	Small	141966.0	0.000831784025619	-0.1355528154541718	0.00831784025619	True
ROC AUC	Primary == Secondary	True	Primary > Secondary	Small	142085.0	0.000886947294453	0.1348282108660242	0.00831784025619	True
PRC AUC	PRR == IC	False	PRR == IC	Negligible	150577.5	0.0404455095767451	0.083116408640453	0.3235640766139608	False
PRC AUC	ROR == IC	False	ROR == IC	Negligible	151840.5	0.071531129501607	0.0731401364281463	0.500717906511249	False
ROC AUC	PRR == ROR	False	PRR == ROR	Negligible	154006.0	0.1249173823251493	0.0622398806533619	0.7495042939508958	False
ROC AUC	PRR == IC	False	PRR == IC	Negligible	155448.0	0.1875129331739901	0.0534593779969858	0.9375646658699505	False
ROC AUC	Cred == Card	False	Cred == Card	Negligible	158250.0	0.3695513536507656	0.036397680047495	1.0	False
PRC AUC	Cred == Card	False	Cred == Card	Negligible	161522.0	0.6846722155212659	0.0164740984305308	1.0	False
PRC AUC	PRR == ROR	False	PRR == ROR	Negligible	161847.5	0.720920240960113	0.0144920917629507	1.0	False
ROC AUC	ROR == IC	False	ROR == IC	Negligible	162940.0	0.8467909714746846	-0.0078397345146214	1.0	False
