Stratification	Sub-category	Metric	Value
Sex	Unknown	Recall	0.55962
Sex	Male	Recall	0.37379
Sex	Female	Recall	0.59347
Sex	Unknown	Recall	0.50864
Sex	Male	Recall	0.32181
Sex	Female	Recall	0.51538
Sex	Male	Recall	0.37405
Sex	Unknown	Recall	0.57087
Sex	Female	Recall	0.58387
Sex	Male	Recall	0.31205
Sex	Unknown	Recall	0.50778
Sex	Female	Recall	0.52166
Sex	Female	Recall	0.59965
Sex	Unknown	Recall	0.61123
Sex	Male	Recall	0.4567
Sex	Female	Recall	0.60513
Sex	Unknown	Recall	0.61821
Sex	Male	Recall	0.45335
Sex	Male	Recall	0.34008
Sex	Unknown	Recall	0.54355
Sex	Female	Recall	0.56351
Sex	Male	Recall	0.32082
Sex	Unknown	Recall	0.51778
Sex	Female	Recall	0.51817
Sex	Male	Recall	0.60249
Sex	Unknown	Recall	0.76204
Sex	Female	Recall	0.74256
Sex	Male	Recall	0.53113
Sex	Unknown	Recall	0.70656
Sex	Female	Recall	0.67996
Sex	Unknown	Specificity	0.58008
Sex	Male	Specificity	0.67078
Sex	Female	Specificity	0.56163
Sex	Unknown	Specificity	0.59079
Sex	Male	Specificity	0.70764
Sex	Female	Specificity	0.56361
Sex	Male	Specificity	0.78374
Sex	Unknown	Specificity	0.5761
Sex	Female	Specificity	0.50722
Sex	Male	Specificity	0.78271
Sex	Unknown	Specificity	0.57953
Sex	Female	Specificity	0.53249
Sex	Female	Specificity	0.56642
Sex	Unknown	Specificity	0.57674
Sex	Male	Specificity	0.71239
Sex	Female	Specificity	0.55216
Sex	Unknown	Specificity	0.5605
Sex	Male	Specificity	0.68782
Sex	Male	Specificity	0.78682
Sex	Unknown	Specificity	0.63466
Sex	Female	Specificity	0.63961
Sex	Male	Specificity	0.78984
Sex	Unknown	Specificity	0.62363
Sex	Female	Specificity	0.63636
Sex	Male	Specificity	0.64509
Sex	Unknown	Specificity	0.50457
Sex	Female	Specificity	0.49779
Sex	Male	Specificity	0.62442
Sex	Unknown	Specificity	0.48465
Sex	Female	Specificity	0.49749
Sex	Unknown	HarmRS	0.56967
Sex	Male	HarmRS	0.48007
Sex	Female	HarmRS	0.57711
Sex	Unknown	HarmRS	0.54664
Sex	Male	HarmRS	0.44242
Sex	Female	HarmRS	0.53842
Sex	Male	HarmRS	0.50641
Sex	Unknown	HarmRS	0.57348
Sex	Female	HarmRS	0.54285
Sex	Male	HarmRS	0.44621
Sex	Unknown	HarmRS	0.54129
Sex	Female	HarmRS	0.52702
Sex	Female	HarmRS	0.58256
Sex	Unknown	HarmRS	0.59348
Sex	Male	HarmRS	0.55659
Sex	Female	HarmRS	0.57743
Sex	Unknown	HarmRS	0.58794
Sex	Male	HarmRS	0.5465
Sex	Male	HarmRS	0.4749
Sex	Unknown	HarmRS	0.58558
Sex	Female	HarmRS	0.59916
Sex	Male	HarmRS	0.4563
Sex	Unknown	HarmRS	0.5658
Sex	Female	HarmRS	0.57122
Sex	Male	HarmRS	0.62306
Sex	Unknown	HarmRS	0.60714
Sex	Female	HarmRS	0.59602
