faers_name	active	count
# 40 tylenol # 3	acetaminophen	1
# ciprofloxacin ciprofloxacin hcl 500mg tab)	ciprofloxacin	1
#5 timolol 0.5% eye drops (alc)	timolol	1
#7 levofloxacin	levofloxacin	1
%lidocaine%	lidocaine	1
%moxifloxacine%	moxifloxacin	1
%valoron%	tilidine	1
'alohim tiw'		1
'baby' aspirin	acetylsalicylic acid	1
'immunoglobulin (human)		1
'levothyroxin	levothyroxine	1
'pain medication'	iron	1
'pl 14017/0096 pl 14017/0096 dexcel-pharma isosorbide mononitrate	isosorbide mononitrate	2
'relafen	nabumetone	1
( bevacizumab )	bevacizumab	1
( dexamethasone	dexamethasone	1
( dexamethasone )	dexamethasone	1
(+)-alfa-tocopheroli acetas	acetate : vitamin e	1
(-)-methamphetamine (levmetamfetamine)	metamfetamine	2
(1)-1 fentos (fentanyl citrate)	fentanyl	1
(17, film-coated tablet) (lamivudine, abacavir sulfate)	abacavir : lamivudine	1
(40 mmol/l) potassium chloride in 0.9% sodium chloride injection usp	potassium chloride	1
(5 fluorouacil /00098801/)	fluorouracil	1
(5-fu /00098801/)	fluorouracil	3
(6-mercaptopurine monohydrate)	mercaptopurine	1
(90)y-ibritumomab tiuxetan	ibritumomab tiuxetan	4
(acetaminophen w/hydrocodone)	acetaminophen : hydrocodone	1
(acetaminophen) diphenhydramine hci	acetaminophen : diphenhydramine	1
(acetylcysteine)	acetylcysteine	1
(acetylsalicylic acid)	acetylsalicylic acid	1
(aciclovir)	acyclovir	6
(actiskenan)	morphine	1
(acupan)	nefopam	2
(acyclovir  /00587301/ )	acyclovir	1
(acyclovir /00587301/)	acyclovir	2
(acyclovir)	acyclovir	1
(adrenalin /00003901/)	epinephrine	1
(adrenalin)	epinephrine	1
(albumin)	albumin human	2
(albuterol /00139501/)	salbutamol	2
(alclometasone dipropionate)	alclometasone	1
(aldactazine)	hydrochlorothiazide : spironolactone	1
(alendronic acid)	alendronic acid	2
(alimta)	pemetrexed	1
(alizapride)	alizapride	1
(allopurinol)	allopurinol	11
(allopurinol) (allopurinol) (unknown)	allopurinol	1
(allopurinolo)	allopurinol	1
(almarytm)	flecainide	2
(aloxi)	palonosetron	4
(alprazolam)	alprazolam	7
(alteplase)	alteplase	1
(altimta)	pemetrexed	1
(amarel)	glimepiride	1
(ambroxol hydrochloride)	ambroxol	1
(amikacin)	amikacin	2
(aminophylline)	aminophylline	1
(amiodarone hydrochloride) (amiodarone hydrochloride)	amiodarone	1
(amitriptyline)	amitriptyline	3
(amlodipine)	amlodipine	8
(amoxicillin trinitrate and potassium clavulan)	amoxicillin : clavulanic acid : potassium	1
(amoxicillin w/clavulanate potassium)	amoxicillin : clavulanic acid : potassium	1
(amoxicillin)	amoxicillin	1
(amphetamine and dextroamphetamine	amphetamine : dextroamphetamine	1
(amphotericin)	amphotericin b	1
(ampicillin and sulbactam)	ampicillin : sulbactam	1
(ampicillin sodium w/sulbactam sodium)	ampicillin : sulbactam	1
(antra /00661201/)	omeprazole	1
(antra /00661203/)	omeprazole	1
(apap)	acetaminophen	1
(apidra) insulin	insulin glulisine	1
(aprepitant)	aprepitant	2
(aprovel)	irbesartan	2
(aripiprazole)	aripiprazole	1
(asa)	acetylsalicylic acid	1
(asa) aspirin	acetylsalicylic acid	3
(asparaginase )	asparagine	4
(asparaginase)	asparagine	7
(aspirin)	acetylsalicylic acid	9
(atarax)	hydroxyzine	1
(atenolol)	atenolol	2
(atorvastatin)	atorvastatin	3
(augmentin-duo)	amoxicillin : clavulanic acid	1
(avastin   /00848101/)	bevacizumab	1
(avastin /00848101/)	bevacizumab	1
(avastin/00848101/)	bevacizumab	1
(azantac)	ranitidine	5
(azithromycin)	azithromycin	1
(baclofen)	baclofen	2
(bactrim ds)	sulfamethoxazole : trimethoprim	1
(bactrim)	sulfamethoxazole : trimethoprim	2
(bactrim)(bactrim)	sulfamethoxazole : trimethoprim	1
(benadryl /00000402/)	diphenhydramine	2
(benadryl)	diphenhydramine	1
(bendrofluazide)	bendroflumethiazide	1
(bendroflumethiazide)	bendroflumethiazide	2
(benzydamine hydrochloride)	benzydamine	1
(benzydamine)	benzydamine	2
(betahistine hydrochloride	betahistine	1
(betahistine)	betahistine	1
(betamethasone)	betamethasone	2
(bevacizumab)	bevacizumab	4
(bicarbonate)	sodium bicarbonate	1
(bisacodyl)	bisacodyl	1
(bisolich (bisoprolol fumarate)	bisoprolol	1
(bisoprolol fumarate)	bisoprolol	2
(bisoprolol hemifumarate)	bisoprolol	2
(bisoprolol)	bisoprolol	2
(bosentan)	bosentan	1
(botulinum toxin type a	botulinum toxin type a	1
(brentuximab vedotin	brentuximab vedotin	1
(brilinta)	ticagrelor	1
(bromazepam)	bromazepam	2
(budesonide w/formoterol fumarate)	budesonide : formoterol	1
(bumex)	bumetanide	1
(bupivacaine hydrochloride)	bupivacaine	9
(butalbital)	butalbital	1
(butylscopolaminiumbromid)	butylscopolamine	1
(caelyx)	doxorubicin	1
(calcichew d3)	calcium carbonate : cholecalciferol	1
(calcipotrol)	calcipotriol	1
(calcium alginate)	calcium alginate	1
(calcium cabronate, colecalciferol (lekovit ca)	calcium carbonate : cholecalciferol	1
(calcium carbonate w/colecalciferol)	calcium carbonate : cholecalciferol	1
(calcium carbonate)	calcium carbonate	1
(calcium carbonate, vitamin d3, ferrous sulfate, magnesium oxide daily)	calcium carbonate : ferrous sulfate : magnesium oxide : vitamin d3	1
(calcium chloride w/potassium chlori/06440701/)	calcium chloride : potassium chloride	1
(calcium folinate)	leucovorin	1
(calcium levofolinate)	leucovorin	1
(calcium w/colecaliferol)	calcium : cholecalciferol	1
(calcium w/vitamin d /07457301/)	calcium : vitamin d	1
(caltrate /00751519)	calcium : cholecalciferol	2
(capecitabine)	capecitabine	4
(capecitabinum)	capecitabine	1
(carbamazepine)	carbamazepine	1
(carbocisteine)	carbocisteine	4
(carboplatin)	carboplatin	71
(carboxymethylcellulose sodium)	carboxymethylcellulose	1
(cardirene)	acetylsalicylic acid	1
(cartia (diltiazem)	diltiazem	1
(carvedilol)	carvedilol	1
(caspofungin)	caspofungin	1
(cefazolin)	cefazolin	1
(ceftazidime)	ceftazidime	1
(ceftriaxone sodium)	ceftriaxone	1
(ceftriaxone)	ceftriaxone	3
(cefuroxime)	cefuroxime	1
(celexa /00582602/)	citalopram	1
(ceris)	trospium	1
(certirizine)	cetirizine	1
(cetirizine dihcl)	cetirizine	1
(cetirizine)	cetirizine	2
(chlorphenamine maleate)	chlorpheniramine	2
(chlorphenamine)	chlorpheniramine	1
(chlorpheniramine maleate)	chlorpheniramine	1
(chlorpheniramine)	chlorpheniramine	1
(chlorpromazine)	chlorpromazine	1
(cholecalciferol)	cholecalciferol	2
(chromium picolinate)	chromium picolinate	1
(cialis)	tadalafil	1
(cipro /00697201/)	ciprofloxacin	2
(cipro)	ciprofloxacin	1
(ciprofloxacin)	ciprofloxacin	1
(cisplatin)	cisplatin	5
(cisplatine)	cisplatin	2
(citrate)		1
(clarithromycin)	clarithromycin	1
(clexane)	enoxaparin	3
(clindamycin)	clindamycin	2
(clofarabine)	clofarabine	1
(clonazepam)	clonazepam	3
(clonidine clonidine hydrochloride)	clonidine	1
(clonidine)	clonidine	1
(clopidogrel bisulfate	clopidogrel	1
(clorazepate dipotassium)	clorazepic acid	1
(co-amoxiclav)	amoxicillin : clavulanic acid	1
(co-trimoxazole /00086101/)	sulfamethoxazole : trimethoprim	1
(co-trimoxazole ?/00086101/)	sulfamethoxazole : trimethoprim	1
(co-trimoxazole)	sulfamethoxazole : trimethoprim	3
(cocaine)	cocaine	1
(codeine phosphate (codeine phoosphate) (codeine phosphate)	codeine	1
(codeine phosphate)	codeine	1
(codeine)	codeine	3
(colace)	docusate	2
(colecalciferol)	cholecalciferol	1
(colistimethate sodium)	colistimethate	1
(combivent)	ipratropium : salbutamol	1
(compazine /0003302)	prochlorperazine	1
(compazine)	prochlorperazine	1
(concerta)	methylphenidate	1
(cordarone x)	amiodarone	1
(coreg)	carvedilol	1
(cortancyl)	acetate : prednisone	3
(corticosteroids)		9
(cotrimoxazole)	sulfamethoxazole : trimethoprim	1
(coumadin /00014802/)	warfarin	2
(cozaar)	losartan	2
(creon)	pancrelipase	1
(crizotinib)	crizotinib	1
(cyanocobalamin) (unknown)	cyanocobalamin	1
(cyclizine)	cyclizine	2
(cyclophosphamide )	cyclophosphamide	2
(cyclophosphamide)	cyclophosphamide	40
(cyclosporin a)	cyclosporine	1
(cytarabine)	cytarabine	16
(cytarbabine)	cytarabine	1
(dacarbazine)	dacarbazine	1
(dalteparin)	dalteparin	1
(danunorubicin)	daunorubicin	1
(darbepoetin alfa)	darbepoetin alfa	2
(daunorubicin)	daunorubicin	11
(daunorubicine)	daunorubicin	1
(decadron /00016001/)	dexamethasone	2
(decadron)	dexamethasone	2
(decapeptyl/00486501/)	triptorelin	1
(deltacortene)	prednisone	1
(demadex /01036501/)	torasemide	1
(depamide)	valpromide	1
(desmopressin)	desmopressin	1
(desvenlafaxine succinate)	desvenlafaxine	1
(deursil)	ursodeoxycholic acid	1
(dexametason)	dexamethasone	1
(dexamethasone )	dexamethasone	3
(dexamethasone sodium phosphate)	dexamethasone	1
(dexamethasone)	dexamethasone	26
(dexchlorpheniramine)	dexchlorpheniramine	1
(dexeryl    /00557601/)	chlorpheniramine : dextromethorphan : guaifenesin : phenylephrine	1
(dexmedetomidine hydrochloride)	dexmedetomidine	12
(dexmedetomidine)	dexmedetomidine	2
(dextrose and sodium chloride)	d-glucose	1
(dextrose w/sodium chloride)	d-glucose : sodium chloride	1
(diabetes)	metformin	1
(diamox)	acetazolamide	1
(diazepam)	diazepam	13
(diffu k)	potassium chloride	1
(diflucan)	fluconazole	1
(digoxin)	digoxin	3
(dilaudid)	hydromorphone	3
(diltiazem er)	diltiazem	2
(dimetindene maleate)	dimetindene	1
(dipeptiven)	alanyl glutamine	1
(diphenhydramine hydrochloride)	diphenhydramine	2
(diphenhydramine)	diphenhydramine	1
(dipiperon)	pipamperone	1
(docetaxel)	docetaxel	9
(docusate sodium)	docusate	1
(docusate)	docusate	2
(doliprane)	acetaminophen	1
(domperidone)	domperidone	4
(dopamine hydrochloride)	dopamine	1
(doxorubicin	doxorubicin	1
(doxorubicin )	doxorubicin	1
(doxorubicin hydrochloride)	doxorubicin	2
(doxorubicin)	doxorubicin	6
(doxorubicine /00330902/)	doxorubicin	1
(doxycycline)	doxycycline	4
(doxylamine)	doxylamine	1
(duragesic)	fentanyl	2
(duramorph)	morphine	1
(dutaster8de)	dutasteride	1
(dutasteride)	dutasteride	1
(effexor /01233801/)	venlafaxine	1
(emend /01627301/)	aprepitant	3
(emend ?/01627301/)	aprepitant	1
(emend)	aprepitant	1
(emperal)	metoclopramide	1
(emtricitabine)	emtricitabine	1
(en)		1
(enalapril)	enalapril	1
(enapren)	enalapril	1
(enoxaparin sodium)	enoxaparin	1
(enoxaparin)	enoxaparin	2
(ephedrine)	ephedrine	1
(epirubicin)	epirubicin	2
(epirubicin}	epirubicin	1
(eryaspase) l?asparaginase encapsulated in red blood cells		17
(escitalopram)	escitalopram	1
(esmolol)	esmolol	1
(esomeprazole	esomeprazole	1
(esomeprazole magnesium	esomeprazole magnesium	1
(esomeprazole)	esomeprazole	1
(ethanol)	ethanol	6
(etodolac)	etodolac	1
(etopophos)	etoposide	1
(etoposide)	etoposide	8
(eupantol)	pantoprazole	2
(eutirox)	levothyroxine	1
(exforge)	amlodipine : valsartan	1
(ezetimibe)	ezetimibe	1
(farmorubicina)	epirubicin	1
(felbinac)	felbinac	1
(felodipine)	felodipine	1
(fenoterol hydrobromide w/ipratropium bromide)	fenoterol : ipratropium	1
(fentanyl citrate)	fentanyl	9
(fentanyl)	fentanyl	8
(ferrous fumarate)	ferrous fumarate	1
(ferrous sulfate)	ferrous sulfate	1
(filgrastim)	filgrastim	2
(finasteride)	finasteride	3
(fish oil rich in omega-3-acids)		1
(flagyl /00012501)	metronidazole	1
(flagyl /00012501/)	metronidazole	1
(flecaine)	flecainide	1
(flomax /00889901/)	tamsulosin	1
(flomax) tamsulosin	tamsulosin	1
(florajen3)		1
(flucloxacillin)	flucloxacillin	2
(fluconazole)	fluconazole	4
(fluconazolo)	fluconazole	1
(fluorouraci l)	fluorouracil	1
(fluorouracil)	fluorouracil	4
(fluorouracil-teva)	fluorouracil	2
(fluoxetine)	fluoxetine	1
(fluticasone furoate; vilanterol trifenatate)	fluticasone : vilanterol	1
(fluticasone propionate w/salmeterol xinafoate)	fluticasone : salmeterol	1
(folfiri)	fluorouracil : irinotecan : leucovorin	1
(folic acid)	folic acid	9
(folina /00024201/)	folic acid	1
(folinic acid)	folic acid	2
(forlax /00754501/)	polyethylene glycol	1
(foscavir	foscarnet	1
(fosinopril)	fosinopril	1
(fragmine)	dalteparin	1
(fresubin)		2
(furosemide ((frusemide)	furosemide	1
(furosemide (frusemide))	furosemide	1
(furosemide)	furosemide	8
(fusilev)	levoleucovorin	1
(gabapentin)	gabapentin	7
(gemcitabine hydrochloride)	gemcitabine	16
(gemcitabine sandoz)	gemcitabine	1
(gemcitabine)	gemcitabine	3
(gemzar)	gemcitabine	1
(gentamicin sulfate)	gentamicin	11
(gentamicin)	gentamicin	4
(glimepiride) (glimepiride)	glimepiride	1
(glimepride) amaryl	glimepiride	1
(glucophage)	metformin	2
(glutamic acid)	glutamic acid	1
(glyburide)	glyburide	1
"(glycopyrrolate	 /00196202/)"	glycopyrronium	1
(glycopyrronium bromide)	glycopyrronium	1
(goserelin)	goserelin	1
(granisetron hydrochloride)	granisetron	2
(granisetron)	granisetron	2
(granocyte)	lenograstim	1
(granulokine)	filgrastim	1
(haloperidol)	haloperidol	3
(hartmann's solution)	calcium chloride : lactic acid : potassium chloride : sodium chloride	1
(heparin law)	heparin	1
(heparin sodium)	heparin	1
(heparin)	heparin	1
(herceptin)	trastuzumab	3
(holoxan)	ifosfamide	2
(humalog)	insulin lispro	1
(humira)	adalimumab	1
(humulin   /00806401/)	insulin human	1
(hydrochlorothiazide)	hydrochlorothiazide	1
(hydrocodone)	hydrocodone	1
(hydrocortisone hemisuccinate)	hydrocortisone	2
(hydrocortisone)	hydrocortisone	1
(hydromorphone)	hydromorphone	1
(hydroxyethylstarch)	hydroxyethyl starch	1
(hydroxyzine)	hydroxyzine	1
(hydrroxyzine hydrochloride)	hydroxyzine	1
(hyoscine)	hyoscine	2
(ibu)	ibuprofen	1
(ibuprofen)	ibuprofen	2
(ifosemide)	ifosfamide	1
(ifosfamide)	ifosfamide	1
(imipenem cilastatin)	cilastatin : imipenem	1
(imipenem)	imipenem	1
(inexium     /01479302/)	esomeprazole	1
(inexium)	esomeprazole	1
(insulin glargine)	insulin glargine	2
(insulin human)	insulin human	1
(insulin)	insulin human	2
(iopamidol (iopamidol)	iopamidol	1
(iperten)	manidipine	1
(ipratropium)	ipratropium	1
(irinotecan hydrochloride)	irinotecan	1
(irinotecan)	irinotecan	1
(iron)	iron	2
(isoflurane)	isoflurane	3
(isosorbide /07346401/ (isosorbide mononitrate)e	isosorbide mononitrate	1
(ivabradine)	ivabradine	1
(janumet)	metformin : sitagliptin	1
(k-dur) potassium chloride	potassium chloride	4
(kardegic)	acetylsalicylic acid	3
(kenzen)	candesartan	1
(keppra)	levetiracetam	1
(kestin)	ebastine	1
(ketamine hydrochloride)	ketamine	2
(ketorolac tromethamine)	ketorolac : tromethamine	1
(ketorolac)	ketorolac	2
(kratom) kraoma.com tranquil kraoma		1
(kredex)	carvedilol	1
(kytril)	granisetron	3
(l-asparaginase)	polyethylene glycol	1
(l-citrulline	citrulline	1
(l-tyhroxin)	levothyroxine	1
(lacosamide)	lacosamide	1
(lactated ringer)	calcium chloride : lactic acid : potassium chloride : sodium chloride	1
(lactulose)	lactulose	2
(lanoxin)	digoxin	1
(lansoprazole)	lansoprazole	1
(lansoprazole) (lansoprazole)	lansoprazole	7
(lantus)	insulin glargine	2
(largactil /00011902/)	chlorpromazine	1
(lasilix	furosemide	1
(lasix (furosemide)	furosemide	1
(lasix /00032601/)	furosemide	3
(laxoberal)	picosulfuric acid	1
(leflunomide)	leflunomide	1
(lercapril)	enalapril : lercanidipine	1
(leucovorin /00566701/)	leucovorin	2
(levetiracetam)	levetiracetam	3
(levofloxacina)	levofloxacin	1
(levofolene)	levoleucovorin	1
(levomepromazine)	methotrimeprazine	1
(levonorgestrel and ethinyl estradiol tablets and ferrous bisglycinate	ethinylestradiol : ferrous bisglycinate : levonorgestrel	1
(levothyrox)	levothyroxine	3
(levothyroxide)	levothyroxine	1
(levothyroxine )	levothyroxine	1
(levothyroxine sodium	levothyroxine	1
(levothyroxine)	levothyroxine	5
(levoxacin)	levofloxacin	1
(lexomil)	bromazepam	2
(lidocaine hydrochloride)	lidocaine	1
(lidocaine)	lidocaine	1
(limecycline)	lymecycline	1
(linsitinib	linsitinib	1
(lipitor)	atorvastatin	2
(lisdexamfetamine)	lisdexamfetamine	1
(lisinopril (lisinopril) (lisinopril)	lisinopril	1
(lisinopril)	lisinopril	4
(lisinopril/hydrochlorothiazide)	hydrochlorothiazide : lisinopril	2
(loperamide)	loperamide	1
(loperamide)imodium	loperamide	1
(lopresor  /00376902/)	metoprolol	1
(lopressor)	metoprolol	1
(loratadine (loratadine)	loratadine	1
(loratadine)	loratadine	2
(lorazepam)	lorazepam	1
(losartan hctz tab 100-12.5)	hydrochlorothiazide : losartan	1
(lovastatin)	lovastatin	1
(lovenox)	enoxaparin	2
(lovenox))	enoxaparin	1
(loxoprofen sodium)	loxoprofen	1
(luxazone)	dexamethasone	1
(lyrica)	pregabalin	3
(mabthera)	rituximab	1
(macrogol 3350)	polyethylene glycol	2
(macrogol)	polyethylene glycol	3
(magaldrate)	magaldrate	1
(magnesium oxide)	magnesium oxide	1
(magnesium)	magnesium	1
(mannitol)	mannitol	1
(maxolon)	metoclopramide	1
(mebeverine hydrochloride)	mebeverine	1
(mebeverine)	mebeverine	1
(melatonin)	melatonin	1
(melpreone hydrochloride)	melperone	1
(mepral/00661201/)	omeprazole	1
(mercaptopurine ( (mercaptopurine)	mercaptopurine	1
(meronem)	meropenem	1
(meropenem)	meropenem	11
(mesalazine)	mesalazine	1
(mesna)	coenzyme m	3
(metamizole sodium)	metamizole	1
(metarminol)	metaraminol	1
(metformin)	metformin	1
(metformine)	metformin	1
(metformin}	metformin	1
(methadone)	methadone	1
(methotrexate)	methotrexate	31
(methotrexate) (methotrexate)	methotrexate	1
(methylcellulose)	methylcellulose	1
(methylphenidate)	methylphenidate	1
(methylprednisolone merck)	methylprednisolone	6
(methylprednisolone)	methylprednisolone	5
(methylprenisolone merck)	methylprednisolone	1
(metoclopramide hydrochloride)	metoclopramide	2
(metoclopramide)	metoclopramide	7
(metoject)	methotrexate	1
(metoprolol succinate)	metoprolol succinate	1
(metoprolol tartrate	metoprolol	1
(metoprolol)	metoprolol	1
(metronidazole)	metronidazole	1
(metronidazolo)	metronidazole	1
(mianserine)	mianserin	1
(midazolam)	midazolam	6
(minias)	lormetazepam	1
(miralax /00754501/)	polyethylene glycol	1
(misoprostol)	misoprostol	1
(montelukast)	montelukast	1
(morphine sulfate)	morphine	5
(morphine sulphate)	morphine	13
(morphine)	morphine	2
(ms-contin)	morphine	1
(multivitamin) ascorbic acid, ergocalciferol, folic acid, nicotinamide	ascorbic acid : ergocalciferol : folic acid : multivitamins : nicotineamide	1
(multivitamins (multivitamins)	multivitamin	1
(multivitamins)	multivitamin	1
(multivitamins, other combinations)	multivitamin	2
(mycostatin)	nystatin	2
(nacl fresenius)	sodium chloride	1
(nacl)	sodium chloride	2
(nadroparin calcium)	nadroparin	1
(nails and hair vitamin)		1
(nalbuphine)	nalbuphine	1
(navoban)	tropisetron	1
(nebivolol)	nebivolol	2
(nefopam)	nefopam	4
(neulasta)	pegfilgrastim	8
(nexium /01479302/)	esomeprazole	1
(nexium)	esomeprazole	2
(nexium? /01479302/)	esomeprazole	1
(nicardipine hydrochloride)	nicardipine	1
(nicotinamide w/riboflavin/thiamine)	nicotineamide : riboflavin : thiamine	1
(nicotine)	nicotine	1
(nicotinell	nicotine	1
(nifedipine)	nifedipine	2
(niquitin	nicotine	1
(nitrazepam)	nitrazepam	1
(nitrious oxide)	nitrous oxide	1
(non?abbvie)		2
(noradrenaline /001275501/)	norepinephrine	1
(norepinephrine)	norepinephrine	2
(normal saline)	sodium chloride	1
(norvasc)	amlodipine	1
(norvasc) amlodipine	amlodipine	1
(norvasc) citalopram hydrobromide	citalopram	1
(nos) chemotherapy	cyclophosphamide : doxorubicin : prednisone : vincristine	1
(novonorm)	repaglinide	1
(novorapid)	insulin aspart	1
(nutrients nos)		2
(nystatin)	nystatin	1
(ofloxacin)	ofloxacin	1
(olanzapine)	olanzapine	1
(oliclinomel)		1
(omalizumab)	omalizumab	1
(omeprazole)	omeprazole	10
(ondansetron hcl)	ondansetron	1
(ondansetron hikma)	ondansetron	1
(ondansetron kabi)	ondansetron	1
(ondansetron)	ondansetron	10
(ondansetron) (ondansetron)	ondansetron	1
(ondansetrone	ondansetron	1
(ondansetrone hikma)	ondansetron	1
(oracilline)	phenoxymethylpenicillin	1
(organic nitrates)		1
(other local anesthetics)		1
(oxaliplatin)	oxaliplatin	27
(oxaliplatino accord)	oxaliplatin	1
(oxaprozin)	oxaprozin	1
(oxybutin)	oxybutynin	1
(oxybutynin)	oxybutynin	2
(oxycodone)	oxycodone	13
(oxycontin)	oxycodone	2
(oxygen)	oxygen	3
(paclitaxel ebew)	paclitaxel	1
(paclitaxel ebewe)	paclitaxel	4
(paclitaxel)	paclitaxel	18
(pamidronic acid)	pamidronic acid	1
(pancreatin)	pancrelipase	1
(pantoloc    /01263204/)	pantoprazole	1
(pantop0razole)	pantoprazole	1
(pantoprazole sodium sesquihydrate)	pantoprazole	1
(pantoprazole sodium)	pantoprazole	1
(pantoprazole)	pantoprazole	7
(pantoprazole) (pantoprazole)	pantoprazole	1
(pantoprazolo)	pantoprazole	1
(pantorc)	pantoprazole	1
(pantozol  /012632041)	pantoprazole	1
(paracetamol with codeine phosphate)	acetaminophen : codeine	1
(paracetamol)	acetaminophen	19
(paracetamol; oxycodone)	acetaminophen : oxycodone	1
(paracetamolum)	acetaminophen	1
(parpxetine)	paroxetine	1
(peg-asparaginase)	polyethylene glycol	1
(pegfilgrastim)	pegfilgrastim	2
(pentamidine)	pentamidine	1
(percocet)	acetaminophen : oxycodone	1
(perinopril)	perindopril	1
(pertuzumab)	pertuzumab	3
(phenergan /00033001/)	promethazine	1
(phenobarbital)	phenobarbital	1
(phenylephrine)	phenylephrine	2
(phenytoin)	phenytoin	1
(phytomendadione)	phylloquinone	1
(pioglitazone)	pioglitazone	2
(piperacillin and tazobactam)	piperacillin : tazobactam	1
(piperacillin sodium w/ tazobactam)	piperacillin : tazobactam	1
(piperacillin sodium w/tazobactam sodium)	piperacillin : tazobactam	1
(piperacillin/tazobactam)	piperacillin : tazobactam	1
(pizotifen)	pizotifen	1
(plavix) clopidogrel bisulfate	clopidogrel	1
(polaramine)	dexchlorpheniramine	8
(polyethylene glycol)	polyethylene glycol	1
(pondaparinux)	fondaparinux	1
(potassium chloride)	potassium chloride	5
(potassium)	potassium	6
(pramipexole)	pramipexole	1
(pravastatin sodium)	pravastatin	1
(prednisolone /00016204/)	prednisolone	1
(prednisolone acetate)	prednisolone	1
(prednisolone actate)	prednisolone	1
(prednisolone)	prednisolone	3
(prednisone )	prednisone	1
(prednisone)	prednisone	2
(pregabalin)	pregabalin	2
(prevastatin)	pravastatin	1
(prilosec /00661201/)	omeprazole	2
(primoeran)	metoclopramide	1
(primperan)	metoclopramide	3
(prochlorperazine)	prochlorperazine	1
(promethazine hydrochloride)	promethazine	1
(propofol)	propofol	20
(propofol) intubation (endotracheal intubation)	propofol	1
(propranolol)	propranolol	1
(proton pump inhibitors)		1
(protonix)	pantoprazole	2
(pseudo)-ephedrine	pseudoephedrine	1
(purinethol)	mercaptopurine	1
(quinine)	quinine	2
(raloxifene)	raloxifene	1
(raltegravir)	raltegravir	1
(raltitrexed disodium)	raltitrexed	1
(ramipril)	ramipril	4
(ranidil)	ranitidine	4
(raniplex /00550801)	ranitidine	1
(raniplex /00550801/)	ranitidine	1
(ranitidine	ranitidine	1
(ranitidine hydrochloride)	ranitidine	1
(ranitidine)	ranitidine	6
(remifentanil)	remifentanil	1
(rilmenidine)	rilmenidine	1
(rinse-nasal)		1
(risperidone)	risperidone	1
(ritonavir)	ritonavir	1
(rituximab)	rituximab	9
(rocephine)	ceftriaxone	1
(ropivacaine)	ropivacaine	1
(s)-ketamine	esketamine	3
(saccharomyces boulardii lyophilised)		1
(salbutamol)	salbutamol	5
(saline /00075401/)	sodium chloride	1
(saline/ 00075401/)	sodium chloride	1
(sando k / 00031402/ )	potassium chloride	1
(sando k)	potassium chloride	1
(saxagliptin)	saxagliptin	1
(senna   /00142201/)	sennosides	1
(senna /00142201/)	sennosides	1
(senna/00142201/)	sennosides	1
(sennoside a+b)	sennosides	1
(sennoside) (sennoside)	sennosides	1
(seretide}	fluticasone : salmeterol	1
(sevredol)	morphine	2
(silenium)	selenium	1
(simvastatin)	simvastatin	2
(simvastatine)	simvastatin	1
(singulair)	montelukast	1
(skenan)	morphine	3
(sodium acid phosphate /00706601)	sodium phosphate	1
(sodium acid phosphate /00706601/)	sodium phosphate	1
(sodium bicarbonate)	sodium bicarbonate	6
(sodium chloride)	sodium chloride	1
(soldesam)	dexamethasone	5
(solifenacin) (solifenacin)	solifenacin	1
(solu-cortef)	hydrocortisone	1
(solumedrol)	methylprednisolone	7
(solumedrol) 125 mg	methylprednisolone hemisuccinate	1
(solupred)	prednisolone	1
(solupred/00016201/)	prednisolone	2
(speciafoldine)	folic acid	1
(spiriva)	tiotropium	1
(spironolactone)	spironolactone	2
(spirutein)		1
(sprycel)	dasatinib	1
(stilnox)	zolpidem	1
(strontium ranelate)	strontium ranelate	1
(succinylcholine )	succinylcholine	1
(sucralfate)	sucralfate	2
(sufentanil)	sufentanil	1
(sulfamethoxazole and trimethoprim)	sulfamethoxazole : trimethoprim	1
(sulfamethoxazole w/trimethoprim)	sulfamethoxazole : trimethoprim	1
(sulphasalazine)	sulfasalazine	1
(sulpride)	sulpiride	1
(sustena)	paliperidone	1
(sutent)	sunitinib	1
(suxamethonium)	succinylcholine	1
(synthroid)	levothyroxine	2
(tahor)	atorvastatin	1
(talofen)	promazine	1
(tanganil /00129601/)	acetylleucine	1
(tardyferon /00023503/)	ferrous sulfate anhydrous	1
(tareg)	valsartan	1
(targin)	naloxone : oxycodone	1
(targocid)	teicoplanin	1
(tastuzumab)	trastuzumab	1
(taxol)	paclitaxel	3
(taxotere)	docetaxel	2
(tazocilline)	piperacillin : tazobactam	1
(tcha) prom/zolm/tiza in lidocai athena pharmacy	lidocaine : promethazine : tizanidine : zolmitriptan	1
(teicoplanin)	teicoplanin	1
(telmisartan)	telmisartan	1
(temazepam)	temazepam	2
(temerit)	nebivolol	1
(temozolomide)	temozolomide	1
(tenormine)	atenolol	1
(terbutaline)	terbutaline	2
(teriflunomide	teriflunomide	1
(thiamine)	thiamine	1
(thioguanine)	tioguanine	1
(thiopentone /00053401/)	thiopental	1
(thyroxine)	levothyroxine	1
(ticagrelor)	ticagrelor	1
(tinzaparin)	tinzaparin	2
(tiorfan)	racecadotril	1
(tiotropium bromide monohydrate)	tiotropium	1
(tiotropium)	tiotropium	1
(topalgic lp)	tramadol	1
(topalgic)	tramadol	1
(toprol)	metoprolol	1
(torasemide)	torasemide	1
(tracleer) (bosentan)	bosentan	1
(tramadol hydrochloride)	tramadol	1
(tramadol)	tramadol	5
(transiped      /00754501/)	polyethylene glycol	1
(tranxene)	clorazepic acid	1
