SMILES	Cluster_ID	Fold
Brc1c(NC2=NCCN2)ccc2nccnc12	122	1
C#CC(O)(C=CCl)CC	123	2
C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC	124	3
C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C	125	4
C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC	4	4
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC	4	4
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C	4	4
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC	4	4
C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3CCC21C	126	0
C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	127	1
C#CC1(O)CCC2C3CCC4=CCCCC4C3CCC21C	128	2
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C	129	3
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	35	0
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C	35	0
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC	130	1
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1	131	1
C#CCN(C)C(C)Cc1ccccc1	132	2
C#CCNC1CCc2ccccc21	133	3
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	134	4
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1	135	0
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1	36	4
C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1	136	1
C1=Cc2ccccc2NN=C1	137	2
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1	138	3
C1CCc2nnnn2CC1	139	4
C1COC(NC(C2CC2)C2CC2)=N1	140	0
C1N2CN3CN1CN(C2)C3	141	1
C=C(C#N)C(=O)OCCCC	142	4
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O	143	3
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl	144	4
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	145	0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O	12	2
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O	12	2
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(OCCCO)C1O	146	1
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	5	4
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O	5	4
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)OCCC(C)(C)O)CC(O)CC1O	5	4
C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21	147	2
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12	148	3
C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O	149	4
C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)CN)C8OC)OC7C6O3)C5O4	150	0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C	12	2
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O	5	4
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C	151	1
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5	11	4
C=C1CCN(C(C)C(O)(Cn2cncn2)c2ccc(F)cc2F)CC1	152	2
C=C1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12	153	3
C=CC(=O)N1CCC(C2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1	154	1
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	155	0
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)C(C)C1	156	1
C=CC(=O)NC1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)CC1F	157	2
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	13	3
