metric	null_hypothesis	null_rejected	outcome	effect_size	w_stat	p_value	r_stat
PRC AUC	PRR == ROR	False	PRR == ROR	Negligible	159086.0	0.47626460234824897	0.028912389934227595
PRC AUC	PRR == IC	True	PRR < IC	Small	133916.0	5.3512269678325375e-06	-0.1845701846523877
PRC AUC	ROR == IC	True	ROR < IC	Small	140099.5	0.0002920977371325396	-0.14691814708255316
