metric	null_hypothesis	null_rejected	outcome	effect_size	w_stat	p_value	r_stat
HarmRS	PRR == ROR	True	PRR > ROR	Medium	114327.5	6.819302079957097e-14	0.30384679788707736
HarmRS	PRR == IC	True	PRR > IC	Large	35260.0	1.6295773887931947e-83	0.7852978337976283
HarmRS	ROR == IC	True	ROR > IC	Large	65352.5	7.629294641826298e-50	0.6020611651519995
