metric	null_hypothesis	null_rejected	outcome	effect_size	w_stat	p_value	r_stat
PRC AUC	Mono == Primary	True	Mono < Primary	Medium	95588.0	6.715382756987736e-25	-0.41795375317775646
PRC AUC	Mono == Secondary	True	Mono < Secondary	Medium	113125.5	1.6965604252512118e-14	-0.3111659131387861
PRC AUC	Primary == Secondary	False	Primary == Secondary	Negligible	153761.5	0.11614484685157818	0.06372866907186676
