Dataset	Descriptors	Metric	Model	Mean	STD
Mono	CDDD	Accuracy	LogisticRegression	0.53612	0.04472
Mono	CDDD	Accuracy	RandomForestClassifier	0.58826	0.04411
Mono	CDDD	Accuracy	XGBClassifier	0.58872	0.04251
Mono	CDDD	Balanced Accuracy	LogisticRegression	0.53363	0.03641
Mono	CDDD	Balanced Accuracy	RandomForestClassifier	0.57252	0.03834
Mono	CDDD	Balanced Accuracy	XGBClassifier	0.56889	0.03304
Mono	CDDD	Brier	LogisticRegression	0.30874	0.04295
Mono	CDDD	Brier	RandomForestClassifier	0.23887	0.00907
Mono	CDDD	Brier	XGBClassifier	0.24392	0.01591
Mono	CDDD	ECE	LogisticRegression	0.22647	0.06694
Mono	CDDD	ECE	RandomForestClassifier	0.10328	0.04079
Mono	CDDD	ECE	XGBClassifier	0.10431	0.04313
Mono	CDDD	F1 Score	LogisticRegression	0.58268	0.06967
Mono	CDDD	F1 Score	RandomForestClassifier	0.65193	0.06133
Mono	CDDD	F1 Score	XGBClassifier	0.65185	0.06435
Mono	CDDD	GeomRS	LogisticRegression	0.5265	0.03559
Mono	CDDD	GeomRS	RandomForestClassifier	0.55748	0.04578
Mono	CDDD	GeomRS	XGBClassifier	0.54949	0.04831
Mono	CDDD	HarmRS	LogisticRegression	0.51954	0.03584
Mono	CDDD	HarmRS	RandomForestClassifier	0.54358	0.05714
Mono	CDDD	HarmRS	XGBClassifier	0.53249	0.06825
Mono	CDDD	MCC	LogisticRegression	0.06691	0.07266
Mono	CDDD	MCC	RandomForestClassifier	0.14705	0.07903
Mono	CDDD	MCC	XGBClassifier	0.14216	0.06755
Mono	CDDD	PRC AUC	LogisticRegression	0.65871	0.04856
Mono	CDDD	PRC AUC	RandomForestClassifier	0.71474	0.05849
Mono	CDDD	PRC AUC	XGBClassifier	0.71366	0.03872
Mono	CDDD	Precision	LogisticRegression	0.64495	0.04877
Mono	CDDD	Precision	RandomForestClassifier	0.67505	0.04632
Mono	CDDD	Precision	XGBClassifier	0.67287	0.03504
Mono	CDDD	ROC AUC	LogisticRegression	0.54525	0.05018
Mono	CDDD	ROC AUC	RandomForestClassifier	0.61108	0.05926
Mono	CDDD	ROC AUC	XGBClassifier	0.60641	0.04515
Mono	CDDD	Recall	LogisticRegression	0.53912	0.10248
Mono	CDDD	Recall	RandomForestClassifier	0.64244	0.11259
Mono	CDDD	Recall	XGBClassifier	0.64421	0.123
Mono	CDDD	Specificity	LogisticRegression	0.52813	0.08756
Mono	CDDD	Specificity	RandomForestClassifier	0.50259	0.11732
Mono	CDDD	Specificity	XGBClassifier	0.49358	0.13175
Mono	ChemBERTa	Accuracy	LogisticRegression	0.5239	0.05676
Mono	ChemBERTa	Accuracy	RandomForestClassifier	0.56375	0.03916
Mono	ChemBERTa	Accuracy	XGBClassifier	0.5678	0.04128
Mono	ChemBERTa	Balanced Accuracy	LogisticRegression	0.52134	0.05284
Mono	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.54475	0.0254
Mono	ChemBERTa	Balanced Accuracy	XGBClassifier	0.55003	0.03147
Mono	ChemBERTa	Brier	LogisticRegression	0.30849	0.04265
Mono	ChemBERTa	Brier	RandomForestClassifier	0.24365	0.00851
Mono	ChemBERTa	Brier	XGBClassifier	0.252	0.01469
Mono	ChemBERTa	ECE	LogisticRegression	0.22772	0.06993
Mono	ChemBERTa	ECE	RandomForestClassifier	0.09893	0.04221
Mono	ChemBERTa	ECE	XGBClassifier	0.11725	0.0397
Mono	ChemBERTa	F1 Score	LogisticRegression	0.57062	0.07206
Mono	ChemBERTa	F1 Score	RandomForestClassifier	0.63111	0.06286
Mono	ChemBERTa	F1 Score	XGBClassifier	0.63146	0.06426
Mono	ChemBERTa	GeomRS	LogisticRegression	0.51513	0.05278
Mono	ChemBERTa	GeomRS	RandomForestClassifier	0.52996	0.02993
Mono	ChemBERTa	GeomRS	XGBClassifier	0.53324	0.04293
Mono	ChemBERTa	HarmRS	LogisticRegression	0.50914	0.05391
Mono	ChemBERTa	HarmRS	RandomForestClassifier	0.51623	0.0418
Mono	ChemBERTa	HarmRS	XGBClassifier	0.51799	0.05901
Mono	ChemBERTa	MCC	LogisticRegression	0.0427	0.10452
Mono	ChemBERTa	MCC	RandomForestClassifier	0.09121	0.05234
Mono	ChemBERTa	MCC	XGBClassifier	0.10166	0.06534
Mono	ChemBERTa	PRC AUC	LogisticRegression	0.63714	0.06988
Mono	ChemBERTa	PRC AUC	RandomForestClassifier	0.68064	0.04088
Mono	ChemBERTa	PRC AUC	XGBClassifier	0.68819	0.03986
Mono	ChemBERTa	Precision	LogisticRegression	0.63382	0.05956
Mono	ChemBERTa	Precision	RandomForestClassifier	0.65085	0.03802
Mono	ChemBERTa	Precision	XGBClassifier	0.65737	0.03896
Mono	ChemBERTa	ROC AUC	LogisticRegression	0.529	0.07612
Mono	ChemBERTa	ROC AUC	RandomForestClassifier	0.56896	0.03855
Mono	ChemBERTa	ROC AUC	XGBClassifier	0.57667	0.04373
Mono	ChemBERTa	Recall	LogisticRegression	0.52453	0.09802
Mono	ChemBERTa	Recall	RandomForestClassifier	0.62156	0.10805
Mono	ChemBERTa	Recall	XGBClassifier	0.61815	0.11437
Mono	ChemBERTa	Specificity	LogisticRegression	0.51814	0.09546
Mono	ChemBERTa	Specificity	RandomForestClassifier	0.46794	0.09783
Mono	ChemBERTa	Specificity	XGBClassifier	0.48192	0.12213
Mono	ECFP	Accuracy	LogisticRegression	0.54319	0.06051
Mono	ECFP	Accuracy	RandomForestClassifier	0.55416	0.05686
Mono	ECFP	Accuracy	XGBClassifier	0.57663	0.05893
Mono	ECFP	Balanced Accuracy	LogisticRegression	0.54072	0.05244
Mono	ECFP	Balanced Accuracy	RandomForestClassifier	0.56514	0.0392
Mono	ECFP	Balanced Accuracy	XGBClassifier	0.56717	0.0481
Mono	ECFP	Brier	LogisticRegression	0.29445	0.03921
Mono	ECFP	Brier	RandomForestClassifier	0.24818	0.02047
Mono	ECFP	Brier	XGBClassifier	0.25468	0.0254
Mono	ECFP	ECE	LogisticRegression	0.21054	0.0664
Mono	ECFP	ECE	RandomForestClassifier	0.13208	0.05166
Mono	ECFP	ECE	XGBClassifier	0.13235	0.05115
Mono	ECFP	F1 Score	LogisticRegression	0.58962	0.08217
Mono	ECFP	F1 Score	RandomForestClassifier	0.55981	0.11186
Mono	ECFP	F1 Score	XGBClassifier	0.62677	0.08444
Mono	ECFP	GeomRS	LogisticRegression	0.53293	0.05382
Mono	ECFP	GeomRS	RandomForestClassifier	0.53519	0.0498
Mono	ECFP	GeomRS	XGBClassifier	0.55333	0.05358
Mono	ECFP	HarmRS	LogisticRegression	0.52543	0.05675
Mono	ECFP	HarmRS	RandomForestClassifier	0.50775	0.06382
Mono	ECFP	HarmRS	XGBClassifier	0.54035	0.06256
Mono	ECFP	MCC	LogisticRegression	0.08104	0.10345
Mono	ECFP	MCC	RandomForestClassifier	0.13517	0.07965
Mono	ECFP	MCC	XGBClassifier	0.13589	0.0968
Mono	ECFP	PRC AUC	LogisticRegression	0.66314	0.05797
Mono	ECFP	PRC AUC	RandomForestClassifier	0.7151	0.05262
Mono	ECFP	PRC AUC	XGBClassifier	0.70183	0.04947
Mono	ECFP	Precision	LogisticRegression	0.65046	0.05732
Mono	ECFP	Precision	RandomForestClassifier	0.69304	0.0446
Mono	ECFP	Precision	XGBClassifier	0.67373	0.04577
Mono	ECFP	ROC AUC	LogisticRegression	0.56042	0.06698
Mono	ECFP	ROC AUC	RandomForestClassifier	0.59641	0.05715
Mono	ECFP	ROC AUC	XGBClassifier	0.59703	0.06444
Mono	ECFP	Recall	LogisticRegression	0.54829	0.11334
Mono	ECFP	Recall	RandomForestClassifier	0.49247	0.16868
Mono	ECFP	Recall	XGBClassifier	0.59891	0.13317
Mono	ECFP	Specificity	LogisticRegression	0.53315	0.09674
Mono	ECFP	Specificity	RandomForestClassifier	0.63781	0.17129
Mono	ECFP	Specificity	XGBClassifier	0.53542	0.12423
Mono	Klek	Accuracy	LogisticRegression	0.55322	0.04621
Mono	Klek	Accuracy	RandomForestClassifier	0.54988	0.04827
Mono	Klek	Accuracy	XGBClassifier	0.5805	0.04125
Mono	Klek	Balanced Accuracy	LogisticRegression	0.55164	0.03875
Mono	Klek	Balanced Accuracy	RandomForestClassifier	0.56075	0.02946
Mono	Klek	Balanced Accuracy	XGBClassifier	0.57135	0.03094
Mono	Klek	Brier	LogisticRegression	0.27888	0.03247
Mono	Klek	Brier	RandomForestClassifier	0.25089	0.01765
Mono	Klek	Brier	XGBClassifier	0.25299	0.01688
Mono	Klek	ECE	LogisticRegression	0.17779	0.0562
Mono	Klek	ECE	RandomForestClassifier	0.13377	0.0561
Mono	Klek	ECE	XGBClassifier	0.12594	0.04409
Mono	Klek	F1 Score	LogisticRegression	0.59674	0.0669
Mono	Klek	F1 Score	RandomForestClassifier	0.55853	0.1042
Mono	Klek	F1 Score	XGBClassifier	0.62898	0.07516
Mono	Klek	GeomRS	LogisticRegression	0.54293	0.04266
Mono	Klek	GeomRS	RandomForestClassifier	0.52881	0.04313
Mono	Klek	GeomRS	XGBClassifier	0.55326	0.04303
Mono	Klek	HarmRS	LogisticRegression	0.53458	0.04818
Mono	Klek	HarmRS	RandomForestClassifier	0.50022	0.06262
Mono	Klek	HarmRS	XGBClassifier	0.5367	0.05925
Mono	Klek	MCC	LogisticRegression	0.10249	0.07644
Mono	Klek	MCC	RandomForestClassifier	0.1274	0.06188
Mono	Klek	MCC	XGBClassifier	0.14488	0.06176
Mono	Klek	PRC AUC	LogisticRegression	0.68372	0.0436
Mono	Klek	PRC AUC	RandomForestClassifier	0.70293	0.04594
Mono	Klek	PRC AUC	XGBClassifier	0.70778	0.04016
Mono	Klek	Precision	LogisticRegression	0.66428	0.03751
Mono	Klek	Precision	RandomForestClassifier	0.69236	0.05059
Mono	Klek	Precision	XGBClassifier	0.68313	0.03956
Mono	Klek	ROC AUC	LogisticRegression	0.57719	0.04791
Mono	Klek	ROC AUC	RandomForestClassifier	0.59126	0.03696
Mono	Klek	ROC AUC	XGBClassifier	0.60118	0.03657
Mono	Klek	Recall	LogisticRegression	0.55007	0.10284
Mono	Klek	Recall	RandomForestClassifier	0.49412	0.16717
Mono	Klek	Recall	XGBClassifier	0.60009	0.13271
Mono	Klek	Specificity	LogisticRegression	0.55321	0.10618
Mono	Klek	Specificity	RandomForestClassifier	0.62739	0.18416
Mono	Klek	Specificity	XGBClassifier	0.54261	0.14982
Mono	MACCS	Accuracy	LogisticRegression	0.53044	0.047
Mono	MACCS	Accuracy	RandomForestClassifier	0.58124	0.05147
Mono	MACCS	Accuracy	XGBClassifier	0.58875	0.03814
Mono	MACCS	Balanced Accuracy	LogisticRegression	0.51904	0.03632
Mono	MACCS	Balanced Accuracy	RandomForestClassifier	0.57175	0.03607
Mono	MACCS	Balanced Accuracy	XGBClassifier	0.57604	0.02685
Mono	MACCS	Brier	LogisticRegression	0.27807	0.01717
Mono	MACCS	Brier	RandomForestClassifier	0.23751	0.01218
Mono	MACCS	Brier	XGBClassifier	0.2463	0.01709
Mono	MACCS	ECE	LogisticRegression	0.18218	0.03577
Mono	MACCS	ECE	RandomForestClassifier	0.09993	0.04209
Mono	MACCS	ECE	XGBClassifier	0.11299	0.04452
Mono	MACCS	F1 Score	LogisticRegression	0.57835	0.08673
Mono	MACCS	F1 Score	RandomForestClassifier	0.63672	0.07412
Mono	MACCS	F1 Score	XGBClassifier	0.64268	0.06786
Mono	MACCS	GeomRS	LogisticRegression	0.49767	0.04156
Mono	MACCS	GeomRS	RandomForestClassifier	0.56223	0.04077
Mono	MACCS	GeomRS	XGBClassifier	0.56056	0.03889
Mono	MACCS	HarmRS	LogisticRegression	0.47811	0.05377
Mono	MACCS	HarmRS	RandomForestClassifier	0.5532	0.04785
Mono	MACCS	HarmRS	XGBClassifier	0.54612	0.05351
Mono	MACCS	MCC	LogisticRegression	0.03962	0.0733
Mono	MACCS	MCC	RandomForestClassifier	0.14353	0.07287
Mono	MACCS	MCC	XGBClassifier	0.15341	0.05286
Mono	MACCS	PRC AUC	LogisticRegression	0.65709	0.04976
Mono	MACCS	PRC AUC	RandomForestClassifier	0.72482	0.04408
Mono	MACCS	PRC AUC	XGBClassifier	0.72123	0.03555
Mono	MACCS	Precision	LogisticRegression	0.63533	0.04652
Mono	MACCS	Precision	RandomForestClassifier	0.67427	0.0373
Mono	MACCS	Precision	XGBClassifier	0.68267	0.03328
Mono	MACCS	ROC AUC	LogisticRegression	0.53299	0.04077
Mono	MACCS	ROC AUC	RandomForestClassifier	0.61283	0.04745
Mono	MACCS	ROC AUC	XGBClassifier	0.61339	0.03777
Mono	MACCS	Recall	LogisticRegression	0.54603	0.1411
Mono	MACCS	Recall	RandomForestClassifier	0.61347	0.11447
Mono	MACCS	Recall	XGBClassifier	0.62015	0.12048
Mono	MACCS	Specificity	LogisticRegression	0.49205	0.15769
Mono	MACCS	Specificity	RandomForestClassifier	0.53003	0.08538
Mono	MACCS	Specificity	XGBClassifier	0.53194	0.13179
Mono	RDKit	Accuracy	LogisticRegression	0.54525	0.0523
Mono	RDKit	Accuracy	RandomForestClassifier	0.57524	0.05042
Mono	RDKit	Accuracy	XGBClassifier	0.58943	0.04034
Mono	RDKit	Balanced Accuracy	LogisticRegression	0.53633	0.04823
Mono	RDKit	Balanced Accuracy	RandomForestClassifier	0.5612	0.04117
Mono	RDKit	Balanced Accuracy	XGBClassifier	0.57441	0.03105
Mono	RDKit	Brier	LogisticRegression	0.28012	0.0263
Mono	RDKit	Brier	RandomForestClassifier	0.23921	0.01071
Mono	RDKit	Brier	XGBClassifier	0.24604	0.01715
Mono	RDKit	ECE	LogisticRegression	0.18536	0.04393
Mono	RDKit	ECE	RandomForestClassifier	0.09947	0.03961
Mono	RDKit	ECE	XGBClassifier	0.11588	0.0425
Mono	RDKit	F1 Score	LogisticRegression	0.59623	0.07655
Mono	RDKit	F1 Score	RandomForestClassifier	0.63533	0.07102
Mono	RDKit	F1 Score	XGBClassifier	0.64614	0.0656
Mono	RDKit	GeomRS	LogisticRegression	0.52525	0.05439
Mono	RDKit	GeomRS	RandomForestClassifier	0.54963	0.04441
Mono	RDKit	GeomRS	XGBClassifier	0.55759	0.04046
Mono	RDKit	HarmRS	LogisticRegression	0.51472	0.06191
Mono	RDKit	HarmRS	RandomForestClassifier	0.53876	0.05156
Mono	RDKit	HarmRS	XGBClassifier	0.54216	0.05498
Mono	RDKit	MCC	LogisticRegression	0.07225	0.09579
Mono	RDKit	MCC	RandomForestClassifier	0.12337	0.0834
Mono	RDKit	MCC	XGBClassifier	0.15174	0.06401
Mono	RDKit	PRC AUC	LogisticRegression	0.67961	0.05478
Mono	RDKit	PRC AUC	RandomForestClassifier	0.70473	0.04949
Mono	RDKit	PRC AUC	XGBClassifier	0.71986	0.03556
