Dataset	Metric	Mean	STD
Mono	Accuracy	0.56314	0.05224
Mono	Balanced Accuracy	0.55482	0.04202
Mono	Brier	0.26128	0.03317
Mono	ECE	0.14368	0.06606
Mono	F1 Score	0.61198	0.08232
Mono	GeomRS	0.53951	0.04769
Mono	HarmRS	0.52539	0.05817
Mono	MCC	0.11125	0.08486
Mono	PRC AUC	0.69305	0.05402
Mono	Precision	0.66544	0.04761
Mono	ROC AUC	0.58274	0.05816
Mono	Recall	0.58108	0.13156
Mono	Specificity	0.52856	0.1318
Primary	Accuracy	0.58023	0.05507
Primary	Balanced Accuracy	0.56646	0.04401
Primary	Brier	0.2532	0.03251
Primary	ECE	0.13112	0.05926
Primary	F1 Score	0.62789	0.09193
Primary	GeomRS	0.54812	0.05222
Primary	HarmRS	0.53136	0.06507
Primary	MCC	0.13573	0.08941
Primary	PRC AUC	0.70698	0.06044
Primary	Precision	0.67492	0.04945
Primary	ROC AUC	0.59919	0.06067
Primary	Recall	0.60181	0.14328
Primary	Specificity	0.53112	0.1421
Secondary	Accuracy	0.58503	0.05423
Secondary	Balanced Accuracy	0.55464	0.04334
Secondary	Brier	0.24882	0.02871
Secondary	ECE	0.11948	0.05504
Secondary	F1 Score	0.64556	0.09803
Secondary	GeomRS	0.51828	0.0727
Secondary	HarmRS	0.48878	0.10212
Secondary	MCC	0.1157	0.08934
Secondary	PRC AUC	0.69977	0.06265
Secondary	Precision	0.66146	0.04868
Secondary	ROC AUC	0.59417	0.0599
Secondary	Recall	0.64858	0.16362
Secondary	Specificity	0.4607	0.17497
