Dataset	Descriptors	Metric	Model	Mean	STD
Primary	ChemBERTa	F1 Score	LogisticRegression	0.55284	0.05268
Primary	ChemBERTa	F1 Score	RandomForestClassifier	0.6166	0.06645
Primary	ChemBERTa	F1 Score	XGBClassifier	0.61341	0.06265
Primary	ChemBERTa	GeomRS	LogisticRegression	0.51013	0.02086
Primary	ChemBERTa	GeomRS	RandomForestClassifier	0.52823	0.03252
Primary	ChemBERTa	GeomRS	XGBClassifier	0.53893	0.03045
Primary	ChemBERTa	HarmRS	LogisticRegression	0.50509	0.02368
Primary	ChemBERTa	HarmRS	RandomForestClassifier	0.50968	0.05293
Primary	ChemBERTa	HarmRS	XGBClassifier	0.52407	0.04523
Primary	ChemBERTa	MCC	LogisticRegression	0.03057	0.03933
Primary	ChemBERTa	MCC	RandomForestClassifier	0.10267	0.04535
Primary	ChemBERTa	MCC	XGBClassifier	0.11295	0.04468
Primary	ChemBERTa	Precision	LogisticRegression	0.58789	0.04628
Primary	ChemBERTa	Precision	RandomForestClassifier	0.61473	0.04726
Primary	ChemBERTa	Precision	XGBClassifier	0.62278	0.05187
Primary	ChemBERTa	ROC AUC	LogisticRegression	0.51934	0.02693
Primary	ChemBERTa	ROC AUC	RandomForestClassifier	0.57958	0.03791
Primary	ChemBERTa	ROC AUC	XGBClassifier	0.58639	0.03069
Primary	ChemBERTa	Recall	LogisticRegression	0.52821	0.07978
Primary	ChemBERTa	Recall	RandomForestClassifier	0.63382	0.12866
Primary	ChemBERTa	Recall	XGBClassifier	0.61871	0.1165
Primary	ChemBERTa	Specificity	LogisticRegression	0.50239	0.06949
Primary	ChemBERTa	Specificity	RandomForestClassifier	0.46403	0.11823
Primary	ChemBERTa	Specificity	XGBClassifier	0.49128	0.11874
Primary	Klek	Accuracy	LogisticRegression	0.55538	0.03129
Primary	Klek	Accuracy	RandomForestClassifier	0.56566	0.03507
Primary	Klek	Accuracy	XGBClassifier	0.57585	0.03081
Primary	Klek	Balanced Accuracy	LogisticRegression	0.55525	0.02559
Primary	Klek	Balanced Accuracy	RandomForestClassifier	0.56196	0.02493
Primary	Klek	Balanced Accuracy	XGBClassifier	0.57191	0.02564
Primary	Klek	F1 Score	LogisticRegression	0.58014	0.05931
Primary	Klek	F1 Score	RandomForestClassifier	0.57736	0.10732
Primary	Klek	F1 Score	XGBClassifier	0.60411	0.06979
Primary	Klek	GeomRS	LogisticRegression	0.54948	0.02617
Primary	Klek	GeomRS	RandomForestClassifier	0.53085	0.04965
Primary	Klek	GeomRS	XGBClassifier	0.55731	0.03392
Primary	Klek	HarmRS	LogisticRegression	0.54384	0.028
Primary	Klek	HarmRS	RandomForestClassifier	0.50328	0.07362
Primary	Klek	HarmRS	XGBClassifier	0.54364	0.04611
Primary	Klek	MCC	LogisticRegression	0.1102	0.05058
Primary	Klek	MCC	RandomForestClassifier	0.12967	0.04715
Primary	Klek	MCC	XGBClassifier	0.14661	0.05098
Primary	Klek	Precision	LogisticRegression	0.62864	0.05288
Primary	Klek	Precision	RandomForestClassifier	0.64045	0.05045
Primary	Klek	Precision	XGBClassifier	0.64498	0.05053
Primary	Klek	ROC AUC	LogisticRegression	0.57083	0.03253
Primary	Klek	ROC AUC	RandomForestClassifier	0.60433	0.03007
Primary	Klek	ROC AUC	XGBClassifier	0.60625	0.03653
Primary	Klek	Recall	LogisticRegression	0.54475	0.08551
Primary	Klek	Recall	RandomForestClassifier	0.5541	0.18267
Primary	Klek	Recall	XGBClassifier	0.58222	0.12696
Primary	Klek	Specificity	LogisticRegression	0.56575	0.08214
Primary	Klek	Specificity	RandomForestClassifier	0.56981	0.1833
Primary	Klek	Specificity	XGBClassifier	0.56159	0.13304
Primary	MACCS	Accuracy	LogisticRegression	0.54725	0.0248
Primary	MACCS	Accuracy	RandomForestClassifier	0.58274	0.02588
Primary	MACCS	Accuracy	XGBClassifier	0.58688	0.02945
Primary	MACCS	Balanced Accuracy	LogisticRegression	0.54509	0.01797
Primary	MACCS	Balanced Accuracy	RandomForestClassifier	0.5728	0.01862
Primary	MACCS	Balanced Accuracy	XGBClassifier	0.58202	0.02437
Primary	MACCS	F1 Score	LogisticRegression	0.56177	0.08555
Primary	MACCS	F1 Score	RandomForestClassifier	0.63079	0.05743
Primary	MACCS	F1 Score	XGBClassifier	0.6152	0.0727
Primary	MACCS	GeomRS	LogisticRegression	0.52456	0.02956
Primary	MACCS	GeomRS	RandomForestClassifier	0.56016	0.0245
Primary	MACCS	GeomRS	XGBClassifier	0.56772	0.03122
Primary	MACCS	HarmRS	LogisticRegression	0.50528	0.04243
Primary	MACCS	HarmRS	RandomForestClassifier	0.54816	0.03474
Primary	MACCS	HarmRS	XGBClassifier	0.55422	0.04225
Primary	MACCS	MCC	LogisticRegression	0.0925	0.03521
Primary	MACCS	MCC	RandomForestClassifier	0.14842	0.03783
Primary	MACCS	MCC	XGBClassifier	0.16773	0.05005
Primary	MACCS	Precision	LogisticRegression	0.62306	0.04259
Primary	MACCS	Precision	RandomForestClassifier	0.63714	0.04478
Primary	MACCS	Precision	XGBClassifier	0.65384	0.04527
Primary	MACCS	ROC AUC	LogisticRegression	0.564	0.02421
Primary	MACCS	ROC AUC	RandomForestClassifier	0.61491	0.03171
Primary	MACCS	ROC AUC	XGBClassifier	0.62166	0.03251
Primary	MACCS	Recall	LogisticRegression	0.52912	0.14472
Primary	MACCS	Recall	RandomForestClassifier	0.63535	0.10603
Primary	MACCS	Recall	XGBClassifier	0.59567	0.13098
Primary	MACCS	Specificity	LogisticRegression	0.56105	0.15161
Primary	MACCS	Specificity	RandomForestClassifier	0.51024	0.10116
Primary	MACCS	Specificity	XGBClassifier	0.56838	0.12853
Primary	Morgan	Accuracy	LogisticRegression	0.57018	0.03388
Primary	Morgan	Accuracy	RandomForestClassifier	0.57255	0.03304
Primary	Morgan	Accuracy	XGBClassifier	0.58803	0.02437
Primary	Morgan	Balanced Accuracy	LogisticRegression	0.57016	0.03242
