metric	null_hypothesis	null_rejected	outcome	effect_size	w_stat	p_value	r_stat
ROC AUC	PRR == ROR	False	PRR == ROR	Negligible	154006.0	0.12491738232514936	0.06223988065336195
ROC AUC	PRR == IC	False	PRR == IC	Negligible	155448.0	0.1875129331739901	0.053459377996985885
ROC AUC	ROR == IC	False	ROR == IC	Negligible	162940.0	0.8467909714746846	-0.007839734514621485
