metric	null_hypothesis	null_rejected	outcome	effect_size	w_stat	p_value	r_stat
HarmRS	Cred == Card	True	Cred > Card	Small	137797.0	9.065978652663634e-05	0.15886401440583559
HarmRS	Cred == Cvas	True	Cred > Cvas	Small	119088.5	1.2308391424246298e-11	0.27485652524698967
HarmRS	Card == Cvas	True	Card > Cvas	Small	141666.5	0.0007067199846497653	0.1373765051529129
