metric	null_hypothesis	null_rejected	outcome	effect_size	w_stat	p_value	r_stat
HarmRS	Mono == Primary	True	Mono < Primary	Small	141966.0	0.0008317840256190346	-0.1355528154541718
HarmRS	Mono == Secondary	True	Mono > Secondary	Medium	93335.0	1.882574570481627e-26	0.4316725274390708
HarmRS	Primary == Secondary	True	Primary > Secondary	Large	67883.5	2.050328916367355e-47	0.5866496171469455
