metric	null_hypothesis	null_rejected	outcome	effect_size	w_stat	p_value	r_stat
PRC AUC	PRR == ROR	False	PRR == ROR	Negligible	161847.5	0.720920240960113	0.014492091762950784
PRC AUC	PRR == IC	False	PRR == IC	Negligible	150577.5	0.040445509576745156	0.08311640864045303
PRC AUC	ROR == IC	False	ROR == IC	Negligible	151840.5	0.07153112950160703	0.07314013642814632
