DPA	Descriptors	Metric	Model	Mean	STD
IC	CDDD	Accuracy	LogisticRegression	0.52693	0.02175
IC	CDDD	Accuracy	RandomForestClassifier	0.56669	0.02263
IC	CDDD	Accuracy	XGBClassifier	0.55016	0.01837
IC	CDDD	Balanced Accuracy	LogisticRegression	0.51951	0.01654
IC	CDDD	Balanced Accuracy	RandomForestClassifier	0.52911	0.01795
IC	CDDD	Balanced Accuracy	XGBClassifier	0.52147	0.01662
IC	CDDD	Brier	LogisticRegression	0.31049	0.01672
IC	CDDD	Brier	RandomForestClassifier	0.24353	0.00456
IC	CDDD	Brier	XGBClassifier	0.26966	0.00908
IC	CDDD	ECE	LogisticRegression	0.21567	0.03086
IC	CDDD	ECE	RandomForestClassifier	0.05363	0.02067
IC	CDDD	ECE	XGBClassifier	0.14436	0.02121
IC	CDDD	F1 Score	LogisticRegression	0.57668	0.04509
IC	CDDD	F1 Score	RandomForestClassifier	0.66804	0.04707
IC	CDDD	F1 Score	XGBClassifier	0.64481	0.02768
IC	CDDD	GeomRS	LogisticRegression	0.51238	0.01748
IC	CDDD	GeomRS	RandomForestClassifier	0.44476	0.08601
IC	CDDD	GeomRS	XGBClassifier	0.48027	0.02998
IC	CDDD	HarmRS	LogisticRegression	0.50545	0.02074
IC	CDDD	HarmRS	RandomForestClassifier	0.38426	0.12761
IC	CDDD	HarmRS	XGBClassifier	0.44334	0.04646
IC	CDDD	MCC	LogisticRegression	0.03929	0.03336
IC	CDDD	MCC	RandomForestClassifier	0.06697	0.03476
IC	CDDD	MCC	XGBClassifier	0.04669	0.03614
IC	CDDD	PRC AUC	LogisticRegression	0.59842	0.03206
IC	CDDD	PRC AUC	RandomForestClassifier	0.63843	0.03004
IC	CDDD	PRC AUC	XGBClassifier	0.62383	0.03538
IC	CDDD	Precision	LogisticRegression	0.59014	0.02707
IC	CDDD	Precision	RandomForestClassifier	0.59389	0.02893
IC	CDDD	Precision	XGBClassifier	0.58826	0.0259
IC	CDDD	ROC AUC	LogisticRegression	0.52423	0.02207
IC	CDDD	ROC AUC	RandomForestClassifier	0.56389	0.02342
IC	CDDD	ROC AUC	XGBClassifier	0.54682	0.02554
IC	CDDD	Recall	LogisticRegression	0.56895	0.07626
IC	CDDD	Recall	RandomForestClassifier	0.77469	0.11237
IC	CDDD	Recall	XGBClassifier	0.71626	0.05453
IC	CDDD	Specificity	LogisticRegression	0.47006	0.0686
IC	CDDD	Specificity	RandomForestClassifier	0.28353	0.13613
IC	CDDD	Specificity	XGBClassifier	0.32669	0.0561
IC	ChemBERTa	Accuracy	LogisticRegression	0.51555	0.0288
IC	ChemBERTa	Accuracy	RandomForestClassifier	0.55732	0.02496
IC	ChemBERTa	Accuracy	XGBClassifier	0.54393	0.02244
IC	ChemBERTa	Balanced Accuracy	LogisticRegression	0.50403	0.0254
IC	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.52185	0.01821
IC	ChemBERTa	Balanced Accuracy	XGBClassifier	0.51449	0.01697
IC	ChemBERTa	Brier	LogisticRegression	0.323	0.02441
IC	ChemBERTa	Brier	RandomForestClassifier	0.2477	0.00519
IC	ChemBERTa	Brier	XGBClassifier	0.27227	0.01128
IC	ChemBERTa	ECE	LogisticRegression	0.233	0.03869
IC	ChemBERTa	ECE	RandomForestClassifier	0.06641	0.01494
IC	ChemBERTa	ECE	XGBClassifier	0.14663	0.02565
IC	ChemBERTa	F1 Score	LogisticRegression	0.5775	0.04361
IC	ChemBERTa	F1 Score	RandomForestClassifier	0.65434	0.04868
IC	ChemBERTa	F1 Score	XGBClassifier	0.63756	0.03579
IC	ChemBERTa	GeomRS	LogisticRegression	0.49395	0.02528
IC	ChemBERTa	GeomRS	RandomForestClassifier	0.44964	0.08213
IC	ChemBERTa	GeomRS	XGBClassifier	0.47332	0.03314
IC	ChemBERTa	HarmRS	LogisticRegression	0.4843	0.02912
IC	ChemBERTa	HarmRS	RandomForestClassifier	0.39745	0.12345
IC	ChemBERTa	HarmRS	XGBClassifier	0.43688	0.05283
IC	ChemBERTa	MCC	LogisticRegression	0.00858	0.05118
IC	ChemBERTa	MCC	RandomForestClassifier	0.04877	0.03815
