DPA	Metric	Mean	STD
IC	Accuracy	0.54405	0.02864
IC	Balanced Accuracy	0.51896	0.02237
IC	Brier	0.2756	0.02864
IC	ECE	0.14378	0.06252
IC	F1 Score	0.63005	0.04955
IC	GeomRS	0.47717	0.0516
IC	HarmRS	0.44269	0.08029
IC	MCC	0.04151	0.04712
IC	PRC AUC	0.61118	0.03859
IC	Precision	0.58715	0.03043
IC	ROC AUC	0.53736	0.03382
IC	Recall	0.68903	0.10466
IC	Specificity	0.34889	0.10561
PRR	Accuracy	0.52199	0.02985
PRR	Balanced Accuracy	0.52483	0.02545
PRR	Brier	0.26973	0.02609
PRR	ECE	0.12892	0.05947
PRR	F1 Score	0.54122	0.06109
PRR	GeomRS	0.51641	0.03077
PRR	HarmRS	0.50846	0.03871
PRR	MCC	0.04973	0.05104
PRR	PRC AUC	0.60821	0.03854
PRR	Precision	0.59865	0.03542
PRR	ROC AUC	0.53637	0.03345
PRR	Recall	0.50171	0.09358
PRR	Specificity	0.54795	0.09177
ROR	Accuracy	0.51253	0.03353
ROR	Balanced Accuracy	0.52286	0.02707
ROR	Brier	0.2787	0.02768
ROR	ECE	0.15363	0.06021
ROR	F1 Score	0.50522	0.08258
ROR	GeomRS	0.50528	0.04036
ROR	HarmRS	0.48952	0.0572
ROR	MCC	0.04637	0.0546
ROR	PRC AUC	0.6062	0.04061
ROR	Precision	0.59959	0.04035
ROR	ROC AUC	0.53419	0.03644
ROR	Recall	0.44929	0.11364
ROR	Specificity	0.59643	0.11006
