PT	Descriptors	Metric	Model	Mean	STD
Card	CDDD	Accuracy	LogisticRegression	0.52145	0.0402
Card	CDDD	Accuracy	RandomForestClassifier	0.5703	0.04012
Card	CDDD	Accuracy	XGBClassifier	0.561	0.03358
Card	CDDD	Balanced Accuracy	LogisticRegression	0.52259	0.02886
Card	CDDD	Balanced Accuracy	RandomForestClassifier	0.54285	0.02268
Card	CDDD	Balanced Accuracy	XGBClassifier	0.54571	0.02415
Card	CDDD	Brier	LogisticRegression	0.30657	0.02849
Card	CDDD	Brier	RandomForestClassifier	0.24023	0.00902
Card	CDDD	Brier	XGBClassifier	0.25298	0.01109
Card	CDDD	ECE	LogisticRegression	0.21865	0.04856
Card	CDDD	ECE	RandomForestClassifier	0.07857	0.03674
Card	CDDD	ECE	XGBClassifier	0.11544	0.03181
Card	CDDD	F1 Score	LogisticRegression	0.54975	0.07781
Card	CDDD	F1 Score	RandomForestClassifier	0.63513	0.08067
Card	CDDD	F1 Score	XGBClassifier	0.61569	0.06824
Card	CDDD	GeomRS	LogisticRegression	0.51326	0.0326
Card	CDDD	GeomRS	RandomForestClassifier	0.50548	0.07198
Card	CDDD	GeomRS	XGBClassifier	0.52936	0.03682
Card	CDDD	HarmRS	LogisticRegression	0.50426	0.03799
Card	CDDD	HarmRS	RandomForestClassifier	0.47776	0.10763
Card	CDDD	HarmRS	XGBClassifier	0.51441	0.05304
Card	CDDD	MCC	LogisticRegression	0.04484	0.05764
Card	CDDD	MCC	RandomForestClassifier	0.09112	0.0441
Card	CDDD	MCC	XGBClassifier	0.09273	0.04839
Card	CDDD	PRC AUC	LogisticRegression	0.632	0.0503
Card	CDDD	PRC AUC	RandomForestClassifier	0.67074	0.04836
Card	CDDD	PRC AUC	XGBClassifier	0.67579	0.04606
Card	CDDD	Precision	LogisticRegression	0.62007	0.04818
Card	CDDD	Precision	RandomForestClassifier	0.63516	0.03632
Card	CDDD	Precision	XGBClassifier	0.63964	0.03681
Card	CDDD	ROC AUC	LogisticRegression	0.53251	0.03516
Card	CDDD	ROC AUC	RandomForestClassifier	0.57718	0.03653
Card	CDDD	ROC AUC	XGBClassifier	0.5795	0.03165
Card	CDDD	Recall	LogisticRegression	0.50103	0.10765
Card	CDDD	Recall	RandomForestClassifier	0.65075	0.14975
Card	CDDD	Recall	XGBClassifier	0.60364	0.11663
Card	CDDD	Specificity	LogisticRegression	0.54415	0.09185
Card	CDDD	Specificity	RandomForestClassifier	0.43495	0.15992
Card	CDDD	Specificity	XGBClassifier	0.48778	0.12295
Card	ChemBERTa	Accuracy	LogisticRegression	0.51549	0.03783
Card	ChemBERTa	Accuracy	RandomForestClassifier	0.55361	0.04301
Card	ChemBERTa	Accuracy	XGBClassifier	0.54984	0.04108
Card	ChemBERTa	Balanced Accuracy	LogisticRegression	0.51396	0.02994
Card	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.52712	0.03073
Card	ChemBERTa	Balanced Accuracy	XGBClassifier	0.53259	0.03134
Card	ChemBERTa	Brier	LogisticRegression	0.30502	0.03125
Card	ChemBERTa	Brier	RandomForestClassifier	0.24507	0.01019
Card	ChemBERTa	Brier	XGBClassifier	0.25707	0.01476
Card	ChemBERTa	ECE	LogisticRegression	0.21554	0.05092
Card	ChemBERTa	ECE	RandomForestClassifier	0.08632	0.03422
Card	ChemBERTa	ECE	XGBClassifier	0.12332	0.03267
Card	ChemBERTa	F1 Score	LogisticRegression	0.55004	0.0712
Card	ChemBERTa	F1 Score	RandomForestClassifier	0.61632	0.07836
Card	ChemBERTa	F1 Score	XGBClassifier	0.60511	0.07492
Card	ChemBERTa	GeomRS	LogisticRegression	0.5054	0.03034
Card	ChemBERTa	GeomRS	RandomForestClassifier	0.49388	0.07082
Card	ChemBERTa	GeomRS	XGBClassifier	0.51385	0.04485
Card	ChemBERTa	HarmRS	LogisticRegression	0.49715	0.03336
Card	ChemBERTa	HarmRS	RandomForestClassifier	0.46947	0.10323
Card	ChemBERTa	HarmRS	XGBClassifier	0.49721	0.0633
Card	ChemBERTa	MCC	LogisticRegression	0.0281	0.05929
Card	ChemBERTa	MCC	RandomForestClassifier	0.05712	0.06255
Card	ChemBERTa	MCC	XGBClassifier	0.06644	0.06302
Card	ChemBERTa	PRC AUC	LogisticRegression	0.61812	0.04322
Card	ChemBERTa	PRC AUC	RandomForestClassifier	0.64434	0.05744
Card	ChemBERTa	PRC AUC	XGBClassifier	0.65174	0.05828
Card	ChemBERTa	Precision	LogisticRegression	0.61234	0.04503
Card	ChemBERTa	Precision	RandomForestClassifier	0.62451	0.03852
Card	ChemBERTa	Precision	XGBClassifier	0.62824	0.04303
Card	ChemBERTa	ROC AUC	LogisticRegression	0.51972	0.04188
Card	ChemBERTa	ROC AUC	RandomForestClassifier	0.54607	0.04726
Card	ChemBERTa	ROC AUC	XGBClassifier	0.55582	0.04443
Card	ChemBERTa	Recall	LogisticRegression	0.5062	0.10127
Card	ChemBERTa	Recall	RandomForestClassifier	0.62079	0.14002
Card	ChemBERTa	Recall	XGBClassifier	0.59356	0.12343
Card	ChemBERTa	Specificity	LogisticRegression	0.52173	0.09605
Card	ChemBERTa	Specificity	RandomForestClassifier	0.43344	0.16002
Card	ChemBERTa	Specificity	XGBClassifier	0.47162	0.1311
Card	Klek	Accuracy	LogisticRegression	0.53023	0.03956
Card	Klek	Accuracy	RandomForestClassifier	0.53523	0.05881
Card	Klek	Accuracy	XGBClassifier	0.54277	0.04426
Card	Klek	Balanced Accuracy	LogisticRegression	0.52944	0.03696
