PT	Metric	Mean	STD
Card	Accuracy	0.54214	0.0463
Card	Balanced Accuracy	0.53303	0.0306
Card	Brier	0.26753	0.03021
Card	ECE	0.14425	0.0625
Card	F1 Score	0.58263	0.09486
Card	GeomRS	0.5097	0.04976
Card	HarmRS	0.48983	0.07175
Card	MCC	0.06807	0.06176
Card	PRC AUC	0.651	0.05611
Card	Precision	0.63008	0.04721
Card	ROC AUC	0.55541	0.04405
Card	Recall	0.56033	0.15265
Card	Specificity	0.50574	0.15069
Cred	Accuracy	0.54233	0.04435
Cred	Balanced Accuracy	0.53576	0.0288
Cred	Brier	0.26883	0.03092
Cred	ECE	0.1461	0.06304
Cred	F1 Score	0.57969	0.09441
Cred	GeomRS	0.51348	0.04689
Cred	HarmRS	0.49413	0.06841
Cred	MCC	0.07328	0.05776
Cred	PRC AUC	0.65141	0.0559
Cred	Precision	0.63332	0.04733
Cred	ROC AUC	0.55668	0.04187
Cred	Recall	0.55329	0.15083
Cred	Specificity	0.51824	0.14959
Cvas	Accuracy	0.53817	0.046
Cvas	Balanced Accuracy	0.52628	0.03087
Cvas	Brier	0.26879	0.03074
Cvas	ECE	0.1445	0.06106
Cvas	F1 Score	0.58129	0.10097
Cvas	GeomRS	0.50222	0.04907
Cvas	HarmRS	0.48154	0.07083
Cvas	MCC	0.05393	0.06242
Cvas	PRC AUC	0.64136	0.06019
Cvas	Precision	0.62238	0.05104
Cvas	ROC AUC	0.54501	0.04355
Cvas	Recall	0.56353	0.15401
Cvas	Specificity	0.48904	0.1485
