Dataset	Descriptors	Metric	Model	Mean	STD
Mono	CDDD	Accuracy	LogisticRegression	0.51756	0.03729
Mono	CDDD	Accuracy	RandomForestClassifier	0.55849	0.0382
Mono	CDDD	Accuracy	XGBClassifier	0.55889	0.03213
Mono	CDDD	Balanced Accuracy	LogisticRegression	0.5223	0.03307
Mono	CDDD	Balanced Accuracy	RandomForestClassifier	0.54247	0.03402
Mono	CDDD	Balanced Accuracy	XGBClassifier	0.54325	0.0264
Mono	CDDD	Brier	LogisticRegression	0.32097	0.02529
Mono	CDDD	Brier	RandomForestClassifier	0.24285	0.00731
Mono	CDDD	Brier	XGBClassifier	0.25692	0.01246
Mono	CDDD	ECE	LogisticRegression	0.24586	0.0424
Mono	CDDD	ECE	RandomForestClassifier	0.10173	0.04572
Mono	CDDD	ECE	XGBClassifier	0.13108	0.03877
Mono	CDDD	F1 Score	LogisticRegression	0.55163	0.05744
Mono	CDDD	F1 Score	RandomForestClassifier	0.61998	0.06316
Mono	CDDD	F1 Score	XGBClassifier	0.61816	0.05954
Mono	CDDD	GeomRS	LogisticRegression	0.5174	0.03411
Mono	CDDD	GeomRS	RandomForestClassifier	0.52847	0.04404
Mono	CDDD	GeomRS	XGBClassifier	0.52842	0.03996
Mono	CDDD	HarmRS	LogisticRegression	0.5126	0.03593
Mono	CDDD	HarmRS	RandomForestClassifier	0.51554	0.05681
Mono	CDDD	HarmRS	XGBClassifier	0.51489	0.05624
Mono	CDDD	MCC	LogisticRegression	0.04376	0.06515
Mono	CDDD	MCC	RandomForestClassifier	0.08488	0.06719
Mono	CDDD	MCC	XGBClassifier	0.08668	0.05248
Mono	CDDD	PRC AUC	LogisticRegression	0.63854	0.05565
Mono	CDDD	PRC AUC	RandomForestClassifier	0.67761	0.05077
Mono	CDDD	PRC AUC	XGBClassifier	0.675	0.04798
Mono	CDDD	Precision	LogisticRegression	0.62947	0.05751
Mono	CDDD	Precision	RandomForestClassifier	0.64428	0.04981
Mono	CDDD	Precision	XGBClassifier	0.64645	0.04497
Mono	CDDD	ROC AUC	LogisticRegression	0.52441	0.04225
Mono	CDDD	ROC AUC	RandomForestClassifier	0.56731	0.04813
Mono	CDDD	ROC AUC	XGBClassifier	0.56898	0.03468
Mono	CDDD	Recall	LogisticRegression	0.49596	0.07541
Mono	CDDD	Recall	RandomForestClassifier	0.60668	0.10218
Mono	CDDD	Recall	XGBClassifier	0.60167	0.10317
Mono	CDDD	Specificity	LogisticRegression	0.54864	0.07329
Mono	CDDD	Specificity	RandomForestClassifier	0.47827	0.11208
Mono	CDDD	Specificity	XGBClassifier	0.48483	0.12032
Mono	ChemBERTa	Accuracy	LogisticRegression	0.50488	0.04122
Mono	ChemBERTa	Accuracy	RandomForestClassifier	0.54531	0.03436
Mono	ChemBERTa	Accuracy	XGBClassifier	0.54991	0.0337
Mono	ChemBERTa	Balanced Accuracy	LogisticRegression	0.50699	0.0363
Mono	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.52919	0.03202
Mono	ChemBERTa	Balanced Accuracy	XGBClassifier	0.5365	0.0299
Mono	ChemBERTa	Brier	LogisticRegression	0.32271	0.03636
Mono	ChemBERTa	Brier	RandomForestClassifier	0.24829	0.0077
Mono	ChemBERTa	Brier	XGBClassifier	0.25939	0.01259
Mono	ChemBERTa	ECE	LogisticRegression	0.24465	0.06186
Mono	ChemBERTa	ECE	RandomForestClassifier	0.10957	0.04352
Mono	ChemBERTa	ECE	XGBClassifier	0.13603	0.04161
Mono	ChemBERTa	F1 Score	LogisticRegression	0.54332	0.0612
Mono	ChemBERTa	F1 Score	RandomForestClassifier	0.60798	0.05443
Mono	ChemBERTa	F1 Score	XGBClassifier	0.60801	0.05598
Mono	ChemBERTa	GeomRS	LogisticRegression	0.50052	0.03843
Mono	ChemBERTa	GeomRS	RandomForestClassifier	0.52018	0.0382
Mono	ChemBERTa	GeomRS	XGBClassifier	0.52352	0.0394
Mono	ChemBERTa	HarmRS	LogisticRegression	0.49442	0.04315
Mono	ChemBERTa	HarmRS	RandomForestClassifier	0.51164	0.04629
Mono	ChemBERTa	HarmRS	XGBClassifier	0.51148	0.05191
Mono	ChemBERTa	MCC	LogisticRegression	0.01475	0.07156
Mono	ChemBERTa	MCC	RandomForestClassifier	0.05779	0.06363
Mono	ChemBERTa	MCC	XGBClassifier	0.07304	0.05927
Mono	ChemBERTa	PRC AUC	LogisticRegression	0.6212	0.04098
Mono	ChemBERTa	PRC AUC	RandomForestClassifier	0.64475	0.058
Mono	ChemBERTa	PRC AUC	XGBClassifier	0.65541	0.05065
Mono	ChemBERTa	Precision	LogisticRegression	0.61451	0.04141
Mono	ChemBERTa	Precision	RandomForestClassifier	0.63313	0.0498
Mono	ChemBERTa	Precision	XGBClassifier	0.64159	0.04284
Mono	ChemBERTa	ROC AUC	LogisticRegression	0.50818	0.05046
