Dataset	Metric	Mean	STD
Mono	Accuracy	0.53444	0.0475
Mono	Balanced Accuracy	0.52922	0.03673
Mono	Brier	0.27377	0.03285
Mono	ECE	0.16454	0.06604
Mono	F1 Score	0.57772	0.08354
Mono	GeomRS	0.51485	0.04454
Mono	HarmRS	0.50159	0.05599
Mono	MCC	0.05863	0.07329
Mono	PRC AUC	0.65274	0.0559
Mono	Precision	0.63487	0.05384
Mono	ROC AUC	0.54485	0.05045
Mono	Recall	0.54342	0.12564
Mono	Specificity	0.51502	0.12361
Primary	Accuracy	0.5484	0.04909
Primary	Balanced Accuracy	0.53928	0.03592
Primary	Brier	0.26561	0.03265
Primary	ECE	0.14932	0.06594
Primary	F1 Score	0.58662	0.10046
Primary	GeomRS	0.51825	0.04794
Primary	HarmRS	0.49949	0.06464
Primary	MCC	0.08047	0.07337
Primary	PRC AUC	0.66731	0.06106
Primary	Precision	0.64538	0.05375
Primary	ROC AUC	0.56254	0.05215
Primary	Recall	0.55559	0.15095
Primary	Specificity	0.52297	0.14758
Secondary	Accuracy	0.56211	0.05165
Secondary	Balanced Accuracy	0.53508	0.03808
Secondary	Brier	0.2578	0.02773
Secondary	ECE	0.13335	0.05807
Secondary	F1 Score	0.61595	0.11005
Secondary	GeomRS	0.4968	0.06945
Secondary	HarmRS	0.46613	0.10019
Secondary	MCC	0.07412	0.07899
Secondary	PRC AUC	0.665	0.06502
Secondary	Precision	0.63902	0.0543
Secondary	ROC AUC	0.56218	0.05241
Secondary	Recall	0.61619	0.17325
Secondary	Specificity	0.45398	0.17911
