Pearson R	P value	Evaluation
0.017202701340787618	0.5590169356847862	No-demo
0.09445516834286609	2.4160346170833297e-05	Sex-only
0.07871933967090251	4.035277459292799e-05	Age-only
0.09144070318183271	1.7124509242699107e-05	Weight-only
0.0925735293010873	4.215739847243386e-51	Combined
