SMILES	y_true	y_pred	y_score	Test_Fold	Mean	Min	5 Nearest	9 Nearest	Max	Evaluation
Brc1c(NC2=NCCN2)ccc2nccnc12	1	0	0.47249413	0	0.9264967414812773	0.7894736842105263	0.7933404940923738	0.7999601355944191	1.0	Age-only
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O	0	0	0.46295738	0	0.9051145605991673	0.7272727272727273	0.7401515151515151	0.7648989898989899	1.0	Age-only
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	1	0	0.37396663	0	0.9214214050993448	0.8064516129032258	0.8081575682382134	0.8100875379101186	1.0	Age-only
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C	0	0	0.44451368	0	0.9275045941872883	0.7945205479452054	0.8096216266541403	0.8196020038612594	1.0	Age-only
C=CC(N)CCC(=O)O	0	0	0.39247984	0	0.9242918847646082	0.625	0.655	0.6917264038231781	1.0	Age-only
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5	0	0	0.33487102	0	0.8971554503731649	0.7066666666666667	0.7549529813501443	0.7694666031973882	1.0	Age-only
C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1	1	1	0.5943792	0	0.9089415454916493	0.7821782178217822	0.7885994424685188	0.7923305447669329	0.989247311827957	Age-only
CC(=O)C1(O)C=C2C(=O)c3c(c(O)c4ccccc4c3O)C(=O)C2C(OC2CC(N)C(O)C(C)O2)C1	1	0	0.4768442	0	0.8882871531231054	0.7662337662337663	0.7695441813088871	0.772244187414466	0.9857142857142858	Age-only
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	1	1	0.6169083	0	0.9212304749471325	0.7017543859649122	0.7607017543859648	0.7810425442004388	1.0	Age-only
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1	1	1	0.62066585	0	0.9239910002697953	0.7849462365591398	0.7935925470729385	0.7983247181223894	1.0	Age-only
CC(=O)Oc1ccccc1C(=O)O	1	1	0.5537841	0	0.875041305605511	0.5833333333333334	0.6568614589544822	0.6824161626487208	1.0	Age-only
