SMILES	y_true	y_pred	y_score	Test_Fold	Mean	Min	5 Nearest	9 Nearest	Max	Evaluation
Brc1c(NC2=NCCN2)ccc2nccnc12	1	1	0.7552397	0	0.927076987378127	0.7894736842105263	0.7934160798822453	0.7995537374210043	1.0	Sex-only
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O	1	1	0.5004369	0	0.9046457356198587	0.7272727272727273	0.7675757575757576	0.783995633995634	1.0	Sex-only
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	0	1	0.56308055	0	0.8812690508976458	0.74	0.7413159041394335	0.7462362915957688	1.0	Sex-only
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O	1	0	0.36898303	0	0.9184458512408623	0.7974683544303798	0.8088709602633652	0.815529474799765	1.0	Sex-only
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O	0	0	0.36052436	0	0.9227773540484341	0.7721518987341772	0.7972453147177243	0.8048880266167853	1.0	Sex-only
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	0	0	0.4447638	0	0.9211864618698885	0.8048780487804879	0.8088043938752042	0.8122310564107524	1.0	Sex-only
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C	0	0	0.43336967	0	0.9273599696749815	0.7922077922077922	0.8091590755066577	0.8209730326295485	1.0	Sex-only
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O	1	0	0.45303884	0	0.9225226474111173	0.8024691358024691	0.816532788199455	0.8220316804764902	1.0	Sex-only
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C	1	1	0.54212683	0	0.9239558191910759	0.7948717948717948	0.8062328614960194	0.8145956216686839	1.0	Sex-only
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	0	1	0.8111762	0	0.8783238033895278	0.26744186046511625	0.5552223582211342	0.6422650328199083	1.0	Sex-only
C=CC(N)CCC(=O)O	1	0	0.14123854	0	0.9240575636244373	0.625	0.6633333333333333	0.7010196514645903	1.0	Sex-only
C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(N)n3)C2SC1	0	0	0.05052123	0	0.8916769670792931	0.5747126436781609	0.6517032392894462	0.6903447334481817	1.0	Sex-only
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5	1	0	0.38099337	0	0.8976523638958902	0.7066666666666667	0.7549529813501443	0.7699404153373676	1.0	Sex-only
C=CCN1CCC23c4c5ccc(O)c4OC2C(OCCOCCOCCOCCOCCOCCOCCOC)CCC3(O)C1C5	0	1	0.56095666	0	0.8940440368171864	0.7325581395348837	0.7662516154630562	0.7799952810506217	1.0	Sex-only
