Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 650 | max_depth: 5 | learning_rate: 0.06451267 | max_leaves: 3 | subsample: 0.8177676 | colsample_bytree: 0.9451368 | gamma: 2.865319 | reg_alpha: 4.831367 | reg_lambda: 2.790031	0.51819	24	1	XGBClassifier	MACCS
n_estimators: 500 | max_depth: 7 | learning_rate: 0.06700129 | max_leaves: 2 | subsample: 0.7854611 | colsample_bytree: 0.9575284 | gamma: 0.2838905 | reg_alpha: 4.953053 | reg_lambda: 1.137553	0.50727	25	1	XGBClassifier	MACCS
n_estimators: 400 | max_depth: 5 | learning_rate: 0.05751687 | max_leaves: 5 | subsample: 0.9382828 | colsample_bytree: 0.8616774 | gamma: 2.120624 | reg_alpha: 4.767099 | reg_lambda: 2.477785	0.51448	26	1	XGBClassifier	MACCS
n_estimators: 775 | max_depth: 6 | learning_rate: 0.07854647 | max_leaves: 7 | subsample: 0.8784453 | colsample_bytree: 0.7537594 | gamma: 1.658303 | reg_alpha: 4.13433 | reg_lambda: 1.866478	0.50421	27	1	XGBClassifier	MACCS
n_estimators: 650 | max_depth: 8 | learning_rate: 0.02732435 | max_leaves: 1 | subsample: 0.8214405 | colsample_bytree: 0.8062422 | gamma: 3.50574 | reg_alpha: 4.60912 | reg_lambda: 2.764966	0.0	28	1	XGBClassifier	MACCS
n_estimators: 900 | max_depth: 6 | learning_rate: 0.01811519 | max_leaves: 3 | subsample: 0.7305203 | colsample_bytree: 0.8721016 | gamma: 2.796081 | reg_alpha: 3.480968 | reg_lambda: 1.369212	0.51397	29	1	XGBClassifier	MACCS
n_estimators: 175 | max_depth: 7 | learning_rate: 0.01538327 | max_leaves: 4 | subsample: 0.9980442 | colsample_bytree: 0.663614 | gamma: 2.955966 | reg_alpha: 3.887612 | reg_lambda: 4.758429	0.48667	30	1	XGBClassifier	MACCS
n_estimators: 725 | max_depth: 4 | learning_rate: 0.04136143 | max_leaves: 3 | subsample: 0.8365639 | colsample_bytree: 0.9230927 | gamma: 3.099007 | reg_alpha: 3.143061 | reg_lambda: 3.4225	0.51467	31	1	XGBClassifier	MACCS
n_estimators: 625 | max_depth: 5 | learning_rate: 0.05441295 | max_leaves: 5 | subsample: 0.8548171 | colsample_bytree: 0.9736222 | gamma: 3.495462 | reg_alpha: 3.466585 | reg_lambda: 3.082729	0.51257	32	1	XGBClassifier	MACCS
n_estimators: 525 | max_depth: 3 | learning_rate: 0.03800683 | max_leaves: 2 | subsample: 0.7688547 | colsample_bytree: 0.9218411 | gamma: 2.825149 | reg_alpha: 3.24654 | reg_lambda: 4.273567	0.5121	33	1	XGBClassifier	MACCS
n_estimators: 575 | max_depth: 4 | learning_rate: 0.0632627 | max_leaves: 4 | subsample: 0.9425405 | colsample_bytree: 0.9990363 | gamma: 4.569199 | reg_alpha: 4.324709 | reg_lambda: 3.515784	0.50758	34	1	XGBClassifier	MACCS
n_estimators: 450 | max_depth: 2 | learning_rate: 0.04560785 | max_leaves: 3 | subsample: 0.8718161 | colsample_bytree: 0.8763165 | gamma: 2.133325 | reg_alpha: 2.968595 | reg_lambda: 2.341213	0.5164	35	1	XGBClassifier	MACCS
n_estimators: 400 | max_depth: 2 | learning_rate: 0.03191466 | max_leaves: 1 | subsample: 0.6585984 | colsample_bytree: 0.8171043 | gamma: 1.172352 | reg_alpha: 2.388264 | reg_lambda: 2.191808	0.0	36	1	XGBClassifier	MACCS
n_estimators: 225 | max_depth: 2 | learning_rate: 0.08538778 | max_leaves: 12 | subsample: 0.8195065 | colsample_bytree: 0.8793856 | gamma: 2.210982 | reg_alpha: 2.865786 | reg_lambda: 0.7927997	0.50671	37	1	XGBClassifier	MACCS
n_estimators: 450 | max_depth: 9 | learning_rate: 0.04986105 | max_leaves: 5 | subsample: 0.8830157 | colsample_bytree: 0.7522416 | gamma: 1.904481 | reg_alpha: 4.580676 | reg_lambda: 1.877783	0.51252	38	1	XGBClassifier	MACCS
n_estimators: 525 | max_depth: 3 | learning_rate: 0.06596853 | max_leaves: 2 | subsample: 0.9572601 | colsample_bytree: 0.8376319 | gamma: 2.518535 | reg_alpha: 3.831112 | reg_lambda: 1.594167	0.5098	39	1	XGBClassifier	MACCS
n_estimators: 375 | max_depth: 7 | learning_rate: 0.03138759 | max_leaves: 4 | subsample: 0.5890337 | colsample_bytree: 0.5527284 | gamma: 1.311721 | reg_alpha: 2.762828 | reg_lambda: 2.718158	0.50818	40	1	XGBClassifier	MACCS
n_estimators: 475 | max_depth: 2 | learning_rate: 0.04420567 | max_leaves: 3 | subsample: 0.8704461 | colsample_bytree: 0.9290972 | gamma: 2.674155 | reg_alpha: 3.307574 | reg_lambda: 3.837249	0.5141	41	1	XGBClassifier	MACCS
