Series	Test_Fold	Model	Descriptors	Sex	Metric	Value
Weighted	1	XGBClassifier	CDDD	Female	Recall	0.6376
Weighted	1	XGBClassifier	CDDD	Male	Recall	0.42106
Weighted	1	XGBClassifier	CDDD	Unknown	Recall	0.6179
Unweighted	1	XGBClassifier	CDDD	Female	Recall	0.57237
Unweighted	1	XGBClassifier	CDDD	Male	Recall	0.34055
Unweighted	1	XGBClassifier	CDDD	Unknown	Recall	0.55954
Weighted	0	XGBClassifier	CDDD	Male	Recall	0.38162
Weighted	0	XGBClassifier	CDDD	Female	Recall	0.65002
Weighted	0	XGBClassifier	CDDD	Unknown	Recall	0.67982
Unweighted	0	XGBClassifier	CDDD	Male	Recall	0.32798
Unweighted	0	XGBClassifier	CDDD	Female	Recall	0.60854
Unweighted	0	XGBClassifier	CDDD	Unknown	Recall	0.6543
Weighted	4	XGBClassifier	CDDD	Female	Recall	0.69554
Weighted	4	XGBClassifier	CDDD	Male	Recall	0.45601
Weighted	4	XGBClassifier	CDDD	Unknown	Recall	0.68308
Unweighted	4	XGBClassifier	CDDD	Female	Recall	0.62453
Unweighted	4	XGBClassifier	CDDD	Male	Recall	0.36457
Unweighted	4	XGBClassifier	CDDD	Unknown	Recall	0.63009
Weighted	3	XGBClassifier	CDDD	Male	Recall	0.31753
Weighted	3	XGBClassifier	CDDD	Female	Recall	0.62498
Weighted	3	XGBClassifier	CDDD	Unknown	Recall	0.61912
Unweighted	3	XGBClassifier	CDDD	Male	Recall	0.24042
Unweighted	3	XGBClassifier	CDDD	Female	Recall	0.55542
Unweighted	3	XGBClassifier	CDDD	Unknown	Recall	0.56534
Weighted	2	XGBClassifier	CDDD	Male	Recall	0.41998
Weighted	2	XGBClassifier	CDDD	Unknown	Recall	0.68167
Weighted	2	XGBClassifier	CDDD	Female	Recall	0.69152
Unweighted	2	XGBClassifier	CDDD	Male	Recall	0.37131
Unweighted	2	XGBClassifier	CDDD	Unknown	Recall	0.66113
Unweighted	2	XGBClassifier	CDDD	Female	Recall	0.64403
Weighted	1	XGBClassifier	CDDD	Female	Specificity	0.51192
Weighted	1	XGBClassifier	CDDD	Male	Specificity	0.6905
Weighted	1	XGBClassifier	CDDD	Unknown	Specificity	0.50806
Unweighted	1	XGBClassifier	CDDD	Female	Specificity	0.50722
Unweighted	1	XGBClassifier	CDDD	Male	Specificity	0.70991
Unweighted	1	XGBClassifier	CDDD	Unknown	Specificity	0.51119
Weighted	0	XGBClassifier	CDDD	Male	Specificity	0.69219
Weighted	0	XGBClassifier	CDDD	Female	Specificity	0.44264
Weighted	0	XGBClassifier	CDDD	Unknown	Specificity	0.42302
Unweighted	0	XGBClassifier	CDDD	Male	Specificity	0.72084
Unweighted	0	XGBClassifier	CDDD	Female	Specificity	0.48335
Unweighted	0	XGBClassifier	CDDD	Unknown	Specificity	0.44035
Weighted	4	XGBClassifier	CDDD	Female	Specificity	0.40042
Weighted	4	XGBClassifier	CDDD	Male	Specificity	0.63675
Weighted	4	XGBClassifier	CDDD	Unknown	Specificity	0.41588
Unweighted	4	XGBClassifier	CDDD	Female	Specificity	0.40957
Unweighted	4	XGBClassifier	CDDD	Male	Specificity	0.63826
Unweighted	4	XGBClassifier	CDDD	Unknown	Specificity	0.42238
Weighted	3	XGBClassifier	CDDD	Male	Specificity	0.78502
Weighted	3	XGBClassifier	CDDD	Female	Specificity	0.42319
Weighted	3	XGBClassifier	CDDD	Unknown	Specificity	0.45774
Unweighted	3	XGBClassifier	CDDD	Male	Specificity	0.78763
Unweighted	3	XGBClassifier	CDDD	Female	Specificity	0.44803
Unweighted	3	XGBClassifier	CDDD	Unknown	Specificity	0.44708
Weighted	2	XGBClassifier	CDDD	Male	Specificity	0.66769
Weighted	2	XGBClassifier	CDDD	Unknown	Specificity	0.49375
Weighted	2	XGBClassifier	CDDD	Female	Specificity	0.47287
Unweighted	2	XGBClassifier	CDDD	Male	Specificity	0.65753
Unweighted	2	XGBClassifier	CDDD	Unknown	Specificity	0.45775
Unweighted	2	XGBClassifier	CDDD	Female	Specificity	0.43029
Weighted	1	XGBClassifier	CDDD	Female	HarmRS	0.56788
Weighted	1	XGBClassifier	CDDD	Male	HarmRS	0.52313
Weighted	1	XGBClassifier	CDDD	Unknown	HarmRS	0.55762
Unweighted	1	XGBClassifier	CDDD	Female	HarmRS	0.53783
Unweighted	1	XGBClassifier	CDDD	Male	HarmRS	0.46029
Unweighted	1	XGBClassifier	CDDD	Unknown	HarmRS	0.53427
Weighted	0	XGBClassifier	CDDD	Male	HarmRS	0.49199
Weighted	0	XGBClassifier	CDDD	Female	HarmRS	0.52665
Weighted	0	XGBClassifier	CDDD	Unknown	HarmRS	0.52152
Unweighted	0	XGBClassifier	CDDD	Male	HarmRS	0.45084
Unweighted	0	XGBClassifier	CDDD	Female	HarmRS	0.53877
Unweighted	0	XGBClassifier	CDDD	Unknown	HarmRS	0.52642
Weighted	4	XGBClassifier	CDDD	Female	HarmRS	0.50825
Weighted	4	XGBClassifier	CDDD	Male	HarmRS	0.53143
Weighted	4	XGBClassifier	CDDD	Unknown	HarmRS	0.517
Unweighted	4	XGBClassifier	CDDD	Female	HarmRS	0.49471
Unweighted	4	XGBClassifier	CDDD	Male	HarmRS	0.46407
Unweighted	4	XGBClassifier	CDDD	Unknown	HarmRS	0.50574
Weighted	3	XGBClassifier	CDDD	Male	HarmRS	0.45217
Weighted	3	XGBClassifier	CDDD	Female	HarmRS	0.50466
Weighted	3	XGBClassifier	CDDD	Unknown	HarmRS	0.52634
Unweighted	3	XGBClassifier	CDDD	Male	HarmRS	0.36839
Unweighted	3	XGBClassifier	CDDD	Female	HarmRS	0.49598
Unweighted	3	XGBClassifier	CDDD	Unknown	HarmRS	0.4993
Weighted	2	XGBClassifier	CDDD	Male	HarmRS	0.51563
Weighted	2	XGBClassifier	CDDD	Unknown	HarmRS	0.57269
Weighted	2	XGBClassifier	CDDD	Female	HarmRS	0.56166
Unweighted	2	XGBClassifier	CDDD	Male	HarmRS	0.47461
Unweighted	2	XGBClassifier	CDDD	Unknown	HarmRS	0.54095
Unweighted	2	XGBClassifier	CDDD	Female	HarmRS	0.5159
Weighted	1	XGBClassifier	CDDD	Female	ROC AUC	0.5954
Weighted	1	XGBClassifier	CDDD	Male	ROC AUC	0.55194
Weighted	1	XGBClassifier	CDDD	Unknown	ROC AUC	0.59235
Unweighted	1	XGBClassifier	CDDD	Female	ROC AUC	0.5538
Unweighted	1	XGBClassifier	CDDD	Male	ROC AUC	0.52373
Unweighted	1	XGBClassifier	CDDD	Unknown	ROC AUC	0.55162
Weighted	0	XGBClassifier	CDDD	Male	ROC AUC	0.54474
Weighted	0	XGBClassifier	CDDD	Female	ROC AUC	0.57405
Weighted	0	XGBClassifier	CDDD	Unknown	ROC AUC	0.59042
Unweighted	0	XGBClassifier	CDDD	Male	ROC AUC	0.53164
Unweighted	0	XGBClassifier	CDDD	Female	ROC AUC	0.57417
Unweighted	0	XGBClassifier	CDDD	Unknown	ROC AUC	0.57558
Weighted	4	XGBClassifier	CDDD	Female	ROC AUC	0.60359
Weighted	4	XGBClassifier	CDDD	Male	ROC AUC	0.55717
Weighted	4	XGBClassifier	CDDD	Unknown	ROC AUC	0.60152
Unweighted	4	XGBClassifier	CDDD	Female	ROC AUC	0.5467
Unweighted	4	XGBClassifier	CDDD	Male	ROC AUC	0.51634
Unweighted	4	XGBClassifier	CDDD	Unknown	ROC AUC	0.55651
Weighted	3	XGBClassifier	CDDD	Male	ROC AUC	0.55005
Weighted	3	XGBClassifier	CDDD	Female	ROC AUC	0.53264
Weighted	3	XGBClassifier	CDDD	Unknown	ROC AUC	0.56318
Unweighted	3	XGBClassifier	CDDD	Male	ROC AUC	0.50118
Unweighted	3	XGBClassifier	CDDD	Female	ROC AUC	0.5007
Unweighted	3	XGBClassifier	CDDD	Unknown	ROC AUC	0.51851
Weighted	2	XGBClassifier	CDDD	Male	ROC AUC	0.57185
Weighted	2	XGBClassifier	CDDD	Unknown	ROC AUC	0.63053
Weighted	2	XGBClassifier	CDDD	Female	ROC AUC	0.63229
Unweighted	2	XGBClassifier	CDDD	Male	ROC AUC	0.52799
Unweighted	2	XGBClassifier	CDDD	Unknown	ROC AUC	0.58445
Unweighted	2	XGBClassifier	CDDD	Female	ROC AUC	0.5641
Weighted	1	XGBClassifier	CDDD	Female	PRC AUC	0.5187
Weighted	1	XGBClassifier	CDDD	Male	PRC AUC	0.44557
Weighted	1	XGBClassifier	CDDD	Unknown	PRC AUC	0.52851
Unweighted	1	XGBClassifier	CDDD	Female	PRC AUC	0.60035
Unweighted	1	XGBClassifier	CDDD	Male	PRC AUC	0.53637
Unweighted	1	XGBClassifier	CDDD	Unknown	PRC AUC	0.59625
Weighted	0	XGBClassifier	CDDD	Male	PRC AUC	0.49689
Weighted	0	XGBClassifier	CDDD	Female	PRC AUC	0.59046
Weighted	0	XGBClassifier	CDDD	Unknown	PRC AUC	0.60737
Unweighted	0	XGBClassifier	CDDD	Male	PRC AUC	0.59377
Unweighted	0	XGBClassifier	CDDD	Female	PRC AUC	0.68197
Unweighted	0	XGBClassifier	CDDD	Unknown	PRC AUC	0.68045
Weighted	4	XGBClassifier	CDDD	Female	PRC AUC	0.6041
Weighted	4	XGBClassifier	CDDD	Male	PRC AUC	0.48746
Weighted	4	XGBClassifier	CDDD	Unknown	PRC AUC	0.59509
Unweighted	4	XGBClassifier	CDDD	Female	PRC AUC	0.64064
Unweighted	4	XGBClassifier	CDDD	Male	PRC AUC	0.54095
Unweighted	4	XGBClassifier	CDDD	Unknown	PRC AUC	0.63506
Weighted	3	XGBClassifier	CDDD	Male	PRC AUC	0.50173
Weighted	3	XGBClassifier	CDDD	Female	PRC AUC	0.51919
Weighted	3	XGBClassifier	CDDD	Unknown	PRC AUC	0.56038
Unweighted	3	XGBClassifier	CDDD	Male	PRC AUC	0.5753
Unweighted	3	XGBClassifier	CDDD	Female	PRC AUC	0.60913
Unweighted	3	XGBClassifier	CDDD	Unknown	PRC AUC	0.62322
Weighted	2	XGBClassifier	CDDD	Male	PRC AUC	0.552
Weighted	2	XGBClassifier	CDDD	Unknown	PRC AUC	0.63279
