Series	Test_Fold	Model	Descriptors	Weight	Metric	Value
Weighted	1	XGBClassifier	CDDD	High	Recall	0.31654
Weighted	1	XGBClassifier	CDDD	Low	Recall	0.34082
Weighted	1	XGBClassifier	CDDD	Average	Recall	0.37037
Weighted	1	XGBClassifier	CDDD	Unknown	Recall	0.75982
Unweighted	1	XGBClassifier	CDDD	High	Recall	0.27316
Unweighted	1	XGBClassifier	CDDD	Low	Recall	0.33133
Unweighted	1	XGBClassifier	CDDD	Average	Recall	0.35234
Unweighted	1	XGBClassifier	CDDD	Unknown	Recall	0.75504
Weighted	0	XGBClassifier	CDDD	High	Recall	0.35627
Weighted	0	XGBClassifier	CDDD	Low	Recall	0.37855
Weighted	0	XGBClassifier	CDDD	Average	Recall	0.4153
Weighted	0	XGBClassifier	CDDD	Unknown	Recall	0.77388
Unweighted	0	XGBClassifier	CDDD	High	Recall	0.37514
Unweighted	0	XGBClassifier	CDDD	Low	Recall	0.37401
Unweighted	0	XGBClassifier	CDDD	Average	Recall	0.41995
Unweighted	0	XGBClassifier	CDDD	Unknown	Recall	0.7741
Weighted	4	XGBClassifier	CDDD	Average	Recall	0.48816
Weighted	4	XGBClassifier	CDDD	Low	Recall	0.36834
Weighted	4	XGBClassifier	CDDD	High	Recall	0.36084
Weighted	4	XGBClassifier	CDDD	Unknown	Recall	0.80621
Unweighted	4	XGBClassifier	CDDD	Average	Recall	0.47251
Unweighted	4	XGBClassifier	CDDD	Low	Recall	0.35913
Unweighted	4	XGBClassifier	CDDD	High	Recall	0.31628
Unweighted	4	XGBClassifier	CDDD	Unknown	Recall	0.79225
Weighted	3	XGBClassifier	CDDD	Average	Recall	0.38498
Weighted	3	XGBClassifier	CDDD	Low	Recall	0.39897
Weighted	3	XGBClassifier	CDDD	High	Recall	0.20491
Weighted	3	XGBClassifier	CDDD	Unknown	Recall	0.71317
Unweighted	3	XGBClassifier	CDDD	Average	Recall	0.38909
Unweighted	3	XGBClassifier	CDDD	Low	Recall	0.36449
Unweighted	3	XGBClassifier	CDDD	High	Recall	0.21212
Unweighted	3	XGBClassifier	CDDD	Unknown	Recall	0.6998
Weighted	2	XGBClassifier	CDDD	Average	Recall	0.52579
Weighted	2	XGBClassifier	CDDD	Low	Recall	0.49956
Weighted	2	XGBClassifier	CDDD	Unknown	Recall	0.7623
Weighted	2	XGBClassifier	CDDD	High	Recall	0.32862
Unweighted	2	XGBClassifier	CDDD	Average	Recall	0.51155
Unweighted	2	XGBClassifier	CDDD	Low	Recall	0.48864
Unweighted	2	XGBClassifier	CDDD	Unknown	Recall	0.76389
Unweighted	2	XGBClassifier	CDDD	High	Recall	0.3581
Weighted	1	XGBClassifier	CDDD	High	Specificity	0.7556
Weighted	1	XGBClassifier	CDDD	Low	Specificity	0.66666
Weighted	1	XGBClassifier	CDDD	Average	Specificity	0.6422
Weighted	1	XGBClassifier	CDDD	Unknown	Specificity	0.36062
Unweighted	1	XGBClassifier	CDDD	High	Specificity	0.7706
Unweighted	1	XGBClassifier	CDDD	Low	Specificity	0.69888
Unweighted	1	XGBClassifier	CDDD	Average	Specificity	0.64254
Unweighted	1	XGBClassifier	CDDD	Unknown	Specificity	0.346
Weighted	0	XGBClassifier	CDDD	High	Specificity	0.68867
Weighted	0	XGBClassifier	CDDD	Low	Specificity	0.71941
Weighted	0	XGBClassifier	CDDD	Average	Specificity	0.64871
Weighted	0	XGBClassifier	CDDD	Unknown	Specificity	0.31258
Unweighted	0	XGBClassifier	CDDD	High	Specificity	0.70991
Unweighted	0	XGBClassifier	CDDD	Low	Specificity	0.7303
Unweighted	0	XGBClassifier	CDDD	Average	Specificity	0.63504
Unweighted	0	XGBClassifier	CDDD	Unknown	Specificity	0.31587
Weighted	4	XGBClassifier	CDDD	Average	Specificity	0.5249
Weighted	4	XGBClassifier	CDDD	Low	Specificity	0.55977
Weighted	4	XGBClassifier	CDDD	High	Specificity	0.76813
Weighted	4	XGBClassifier	CDDD	Unknown	Specificity	0.3075
Unweighted	4	XGBClassifier	CDDD	Average	Specificity	0.50122
Unweighted	4	XGBClassifier	CDDD	Low	Specificity	0.58105
Unweighted	4	XGBClassifier	CDDD	High	Specificity	0.74531
Unweighted	4	XGBClassifier	CDDD	Unknown	Specificity	0.29805
Weighted	3	XGBClassifier	CDDD	Average	Specificity	0.60868
Weighted	3	XGBClassifier	CDDD	Low	Specificity	0.66045
Weighted	3	XGBClassifier	CDDD	High	Specificity	0.76179
Weighted	3	XGBClassifier	CDDD	Unknown	Specificity	0.41084
Unweighted	3	XGBClassifier	CDDD	Average	Specificity	0.60582
Unweighted	3	XGBClassifier	CDDD	Low	Specificity	0.63636
Unweighted	3	XGBClassifier	CDDD	High	Specificity	0.74413
Unweighted	3	XGBClassifier	CDDD	Unknown	Specificity	0.39242
Weighted	2	XGBClassifier	CDDD	Average	Specificity	0.61921
Weighted	2	XGBClassifier	CDDD	Low	Specificity	0.63673
Weighted	2	XGBClassifier	CDDD	Unknown	Specificity	0.33633
Weighted	2	XGBClassifier	CDDD	High	Specificity	0.76997
