Stratification	Sub-category	Metric	Value
Sex	Unknown	PRC AUC	0.59509
Sex	Female	PRC AUC	0.64064
Sex	Male	PRC AUC	0.54095
Sex	Unknown	PRC AUC	0.63506
Sex	Male	PRC AUC	0.50173
Sex	Female	PRC AUC	0.51919
Sex	Unknown	PRC AUC	0.56038
Sex	Male	PRC AUC	0.5753
Sex	Female	PRC AUC	0.60913
Sex	Unknown	PRC AUC	0.62322
Sex	Male	PRC AUC	0.552
Sex	Unknown	PRC AUC	0.63279
Sex	Female	PRC AUC	0.61061
Sex	Male	PRC AUC	0.59863
Sex	Unknown	PRC AUC	0.66714
Sex	Female	PRC AUC	0.65223
Sex	Female	Brier	0.26282
Sex	Male	Brier	0.27605
Sex	Unknown	Brier	0.26271
Sex	Female	Brier	0.26282
Sex	Male	Brier	0.27605
Sex	Unknown	Brier	0.26271
Sex	Male	Brier	0.28471
Sex	Female	Brier	0.24971
Sex	Unknown	Brier	0.24831
Sex	Male	Brier	0.28471
Sex	Female	Brier	0.24971
Sex	Unknown	Brier	0.24831
Sex	Female	Brier	0.24771
Sex	Male	Brier	0.26181
Sex	Unknown	Brier	0.24701
Sex	Female	Brier	0.24771
Sex	Male	Brier	0.26181
Sex	Unknown	Brier	0.24701
Sex	Male	Brier	0.26646
Sex	Female	Brier	0.25604
Sex	Unknown	Brier	0.25306
Sex	Male	Brier	0.26646
Sex	Female	Brier	0.25604
Sex	Unknown	Brier	0.25306
Sex	Male	Brier	0.26351
Sex	Unknown	Brier	0.24329
Sex	Female	Brier	0.24627
Sex	Male	Brier	0.26351
Sex	Unknown	Brier	0.24329
Sex	Female	Brier	0.24627
Age	Adult	Recall	0.58986
Age	Elderly	Recall	0.36238
Age	Adolescent	Recall	0.67441
Age	Children	Recall	0.54759
Age	Unknown	Recall	0.66593
Age	Adult	Recall	0.49921
Age	Elderly	Recall	0.28854
Age	Adolescent	Recall	0.62736
Age	Children	Recall	0.49333
Age	Unknown	Recall	0.60048
Age	Adolescent	Recall	0.83602
Age	Elderly	Recall	0.25856
Age	Unknown	Recall	0.73576
Age	Children	Recall	0.58648
Age	Adult	Recall	0.59979
Age	Adolescent	Recall	0.80278
Age	Elderly	Recall	0.24687
Age	Unknown	Recall	0.68829
Age	Children	Recall	0.58231
Age	Adult	Recall	0.5247
Age	Unknown	Recall	0.75277
Age	Adult	Recall	0.63357
Age	Children	Recall	0.67938
Age	Adolescent	Recall	0.82142
Age	Elderly	Recall	0.31706
Age	Unknown	Recall	0.66989
Age	Adult	Recall	0.53858
Age	Children	Recall	0.6748
Age	Adolescent	Recall	0.78537
Age	Elderly	Recall	0.2297
Age	Elderly	Recall	0.19078
Age	Children	Recall	0.58846
Age	Adolescent	Recall	0.72536
Age	Adult	Recall	0.56677
Age	Unknown	Recall	0.68403
Age	Elderly	Recall	0.17705
Age	Children	Recall	0.56061
Age	Adolescent	Recall	0.68
Age	Adult	Recall	0.47009
Age	Unknown	Recall	0.59284
Age	Elderly	Recall	0.33603
Age	Children	Recall	0.65988
Age	Adolescent	Recall	0.75197
Age	Adult	Recall	0.62313
Age	Unknown	Recall	0.73988
Age	Elderly	Recall	0.32137
Age	Children	Recall	0.57919
Age	Adolescent	Recall	0.69547
Age	Adult	Recall	0.58442
Age	Unknown	Recall	0.69615
Age	Adult	Specificity	0.60813
Age	Elderly	Specificity	0.72493
Age	Adolescent	Specificity	0.31391
Age	Children	Specificity	0.30744
Age	Unknown	Specificity	0.48118
Age	Adult	Specificity	0.60304
Age	Elderly	Specificity	0.76248
Age	Adolescent	Specificity	0.28814
Age	Children	Specificity	0.39683
Age	Unknown	Specificity	0.47414
Age	Adolescent	Specificity	0.23799
Age	Elderly	Specificity	0.74768
Age	Unknown	Specificity	0.40359
Age	Children	Specificity	0.35716
Age	Adult	Specificity	0.486
Age	Adolescent	Specificity	0.27564
Age	Elderly	Specificity	0.77671
Age	Unknown	Specificity	0.42392
Age	Children	Specificity	0.39604
Age	Adult	Specificity	0.53675
Age	Unknown	Specificity	0.40471
Age	Adult	Specificity	0.45575
Age	Children	Specificity	0.31155
Age	Adolescent	Specificity	0.14266
Age	Elderly	Specificity	0.71179
Age	Unknown	Specificity	0.39877
Age	Adult	Specificity	0.48468
Age	Children	Specificity	0.31858
Age	Adolescent	Specificity	0.15152
Age	Elderly	Specificity	0.72614
Age	Elderly	Specificity	0.78957
Age	Children	Specificity	0.34103
Age	Adolescent	Specificity	0.38255
Age	Adult	Specificity	0.49929
Age	Unknown	Specificity	0.44948
Age	Elderly	Specificity	0.78957
Age	Children	Specificity	0.41304
Age	Adolescent	Specificity	0.37333
Age	Adult	Specificity	0.49718
Age	Unknown	Specificity	0.4507
Age	Elderly	Specificity	0.71764
Age	Children	Specificity	0.36769
Age	Adolescent	Specificity	0.42802
Age	Adult	Specificity	0.51801
Age	Unknown	Specificity	0.45151
Age	Elderly	Specificity	0.71511
Age	Children	Specificity	0.38947
Age	Adolescent	Specificity	0.29268
Age	Adult	Specificity	0.48502
Age	Unknown	Specificity	0.42167
Age	Adult	HarmRS	0.59885
Age	Elderly	HarmRS	0.48321
Age	Adolescent	HarmRS	0.42842
Age	Children	HarmRS	0.39379
Age	Unknown	HarmRS	0.55867
Age	Adult	HarmRS	0.54623
Age	Elderly	HarmRS	0.41865
Age	Adolescent	HarmRS	0.3949
Age	Children	HarmRS	0.43985
Age	Unknown	HarmRS	0.52988
Age	Adolescent	HarmRS	0.37051
Age	Elderly	HarmRS	0.38424
Age	Unknown	HarmRS	0.52125
Age	Children	HarmRS	0.44395
Age	Adult	HarmRS	0.53693
Age	Adolescent	HarmRS	0.41038
Age	Elderly	HarmRS	0.37466
Age	Unknown	HarmRS	0.52469
Age	Children	HarmRS	0.47144
Age	Adult	HarmRS	0.53065
Age	Unknown	HarmRS	0.52641
Age	Adult	HarmRS	0.53015
Age	Children	HarmRS	0.42719
Age	Adolescent	HarmRS	0.2431
Age	Elderly	HarmRS	0.43871
Age	Unknown	HarmRS	0.49994
Age	Adult	HarmRS	0.51021
Age	Children	HarmRS	0.43282
Age	Adolescent	HarmRS	0.25402
Age	Elderly	HarmRS	0.349
Age	Elderly	HarmRS	0.30731
Age	Children	HarmRS	0.43181
Age	Adolescent	HarmRS	0.50092
Age	Adult	HarmRS	0.53089
Age	Unknown	HarmRS	0.54249
Age	Elderly	HarmRS	0.28924
Age	Children	HarmRS	0.47564
Age	Adolescent	HarmRS	0.48203
Age	Adult	HarmRS	0.48325
Age	Unknown	HarmRS	0.51209
Age	Elderly	HarmRS	0.45773
Age	Children	HarmRS	0.47225
Age	Adolescent	HarmRS	0.54553
Age	Adult	HarmRS	0.56573
Age	Unknown	HarmRS	0.56079
Age	Elderly	HarmRS	0.44345
Age	Children	HarmRS	0.46575
Age	Adolescent	HarmRS	0.41199
Age	Adult	HarmRS	0.5301
Age	Unknown	HarmRS	0.52521
Age	Adult	ROC AUC	0.6071
Age	Elderly	ROC AUC	0.56432
Age	Adolescent	ROC AUC	0.49837
Age	Children	ROC AUC	0.41007
Age	Unknown	ROC AUC	0.59634
Age	Adult	ROC AUC	0.54537
Age	Elderly	ROC AUC	0.53749
Age	Adolescent	ROC AUC	0.46498
Age	Children	ROC AUC	0.4297
Age	Unknown	ROC AUC	0.55446
Age	Adolescent	ROC AUC	0.60439
Age	Elderly	ROC AUC	0.5149
Age	Unknown	ROC AUC	0.61388
Age	Children	ROC AUC	0.49044
Age	Adult	ROC AUC	0.54723
Age	Adolescent	ROC AUC	0.57881
Age	Elderly	ROC AUC	0.5179
Age	Unknown	ROC AUC	0.60018
Age	Children	ROC AUC	0.49773
Age	Adult	ROC AUC	0.53192
Age	Unknown	ROC AUC	0.63661
Age	Adult	ROC AUC	0.58076
Age	Children	ROC AUC	0.53925
Age	Adolescent	ROC AUC	0.58471
Age	Elderly	ROC AUC	0.51419
Age	Unknown	ROC AUC	0.56341
Age	Adult	ROC AUC	0.53117
Age	Children	ROC AUC	0.50398
Age	Adolescent	ROC AUC	0.53732
Age	Elderly	ROC AUC	0.48288
Age	Elderly	ROC AUC	0.5003
Age	Children	ROC AUC	0.44384
Age	Adolescent	ROC AUC	0.52297
Age	Adult	ROC AUC	0.55054
Age	Unknown	ROC AUC	0.58104
Age	Elderly	ROC AUC	0.47265
Age	Children	ROC AUC	0.47906
Age	Adolescent	ROC AUC	0.49884
Age	Adult	ROC AUC	0.48648
Age	Unknown	ROC AUC	0.52883
Age	Elderly	ROC AUC	0.5428
Age	Children	ROC AUC	0.52951
Age	Adolescent	ROC AUC	0.66503
Age	Adult	ROC AUC	0.6124
Age	Unknown	ROC AUC	0.64655
Age	Elderly	ROC AUC	0.52006
Age	Children	ROC AUC	0.47711
Age	Adolescent	ROC AUC	0.52772
Age	Adult	ROC AUC	0.55378
Age	Unknown	ROC AUC	0.59144
Age	Adult	PRC AUC	0.49478
Age	Elderly	PRC AUC	0.50383
Age	Adolescent	PRC AUC	0.50019
Age	Children	PRC AUC	0.42058
Age	Unknown	PRC AUC	0.53788
Age	Adult	PRC AUC	0.57035
Age	Elderly	PRC AUC	0.52531
Age	Adolescent	PRC AUC	0.63485
Age	Children	PRC AUC	0.60851
Age	Unknown	PRC AUC	0.59877
Age	Adolescent	PRC AUC	0.75241
Age	Elderly	PRC AUC	0.45787
Age	Unknown	PRC AUC	0.61301
Age	Children	PRC AUC	0.49107
Age	Adult	PRC AUC	0.55026
Age	Adolescent	PRC AUC	0.80227
Age	Elderly	PRC AUC	0.56117
Age	Unknown	PRC AUC	0.6814
Age	Children	PRC AUC	0.6754
Age	Adult	PRC AUC	0.62818
Age	Unknown	PRC AUC	0.62287
Age	Adult	PRC AUC	0.537
Age	Children	PRC AUC	0.57869
Age	Adolescent	PRC AUC	0.64863
Age	Elderly	PRC AUC	0.47019
Age	Unknown	PRC AUC	0.6241
Age	Adult	PRC AUC	0.5677
Age	Children	PRC AUC	0.70078
Age	Adolescent	PRC AUC	0.74384
Age	Elderly	PRC AUC	0.52461
Age	Elderly	PRC AUC	0.42071
Age	Children	PRC AUC	0.55947
Age	Adolescent	PRC AUC	0.65742
Age	Adult	PRC AUC	0.49944
Age	Unknown	PRC AUC	0.56793
Age	Elderly	PRC AUC	0.50955
Age	Children	PRC AUC	0.68683
Age	Adolescent	PRC AUC	0.75195
Age	Adult	PRC AUC	0.57155
Age	Unknown	PRC AUC	0.62076
