Series	Test_Fold	Model	Descriptors	Age	Metric	Value
Weighted	4	XGBClassifier	CDDD	Elderly	ROC AUC	0.51419
Unweighted	4	XGBClassifier	CDDD	Unknown	ROC AUC	0.56341
Unweighted	4	XGBClassifier	CDDD	Adult	ROC AUC	0.53117
Unweighted	4	XGBClassifier	CDDD	Children	ROC AUC	0.50398
Unweighted	4	XGBClassifier	CDDD	Adolescent	ROC AUC	0.53732
Unweighted	4	XGBClassifier	CDDD	Elderly	ROC AUC	0.48288
Weighted	3	XGBClassifier	CDDD	Elderly	ROC AUC	0.5003
Weighted	3	XGBClassifier	CDDD	Children	ROC AUC	0.44384
Weighted	3	XGBClassifier	CDDD	Adolescent	ROC AUC	0.52297
Weighted	3	XGBClassifier	CDDD	Adult	ROC AUC	0.55054
Weighted	3	XGBClassifier	CDDD	Unknown	ROC AUC	0.58104
Unweighted	3	XGBClassifier	CDDD	Elderly	ROC AUC	0.47265
Unweighted	3	XGBClassifier	CDDD	Children	ROC AUC	0.47906
Unweighted	3	XGBClassifier	CDDD	Adolescent	ROC AUC	0.49884
Unweighted	3	XGBClassifier	CDDD	Adult	ROC AUC	0.48648
Unweighted	3	XGBClassifier	CDDD	Unknown	ROC AUC	0.52883
Weighted	2	XGBClassifier	CDDD	Elderly	ROC AUC	0.5428
Weighted	2	XGBClassifier	CDDD	Children	ROC AUC	0.52951
Weighted	2	XGBClassifier	CDDD	Adolescent	ROC AUC	0.66503
Weighted	2	XGBClassifier	CDDD	Adult	ROC AUC	0.6124
Weighted	2	XGBClassifier	CDDD	Unknown	ROC AUC	0.64655
Unweighted	2	XGBClassifier	CDDD	Elderly	ROC AUC	0.52006
Unweighted	2	XGBClassifier	CDDD	Children	ROC AUC	0.47711
Unweighted	2	XGBClassifier	CDDD	Adolescent	ROC AUC	0.52772
Unweighted	2	XGBClassifier	CDDD	Adult	ROC AUC	0.55378
Unweighted	2	XGBClassifier	CDDD	Unknown	ROC AUC	0.59144
Weighted	1	XGBClassifier	CDDD	Adult	PRC AUC	0.49478
Weighted	1	XGBClassifier	CDDD	Elderly	PRC AUC	0.50383
Weighted	1	XGBClassifier	CDDD	Adolescent	PRC AUC	0.50019
Weighted	1	XGBClassifier	CDDD	Children	PRC AUC	0.42058
Weighted	1	XGBClassifier	CDDD	Unknown	PRC AUC	0.53788
Unweighted	1	XGBClassifier	CDDD	Adult	PRC AUC	0.57035
Unweighted	1	XGBClassifier	CDDD	Elderly	PRC AUC	0.52531
Unweighted	1	XGBClassifier	CDDD	Adolescent	PRC AUC	0.63485
Unweighted	1	XGBClassifier	CDDD	Children	PRC AUC	0.60851
Unweighted	1	XGBClassifier	CDDD	Unknown	PRC AUC	0.59877
Weighted	0	XGBClassifier	CDDD	Adolescent	PRC AUC	0.75241
Weighted	0	XGBClassifier	CDDD	Elderly	PRC AUC	0.45787
Weighted	0	XGBClassifier	CDDD	Unknown	PRC AUC	0.61301
Weighted	0	XGBClassifier	CDDD	Children	PRC AUC	0.49107
Weighted	0	XGBClassifier	CDDD	Adult	PRC AUC	0.55026
Unweighted	0	XGBClassifier	CDDD	Adolescent	PRC AUC	0.80227
Unweighted	0	XGBClassifier	CDDD	Elderly	PRC AUC	0.56117
Unweighted	0	XGBClassifier	CDDD	Unknown	PRC AUC	0.6814
Unweighted	0	XGBClassifier	CDDD	Children	PRC AUC	0.6754
Unweighted	0	XGBClassifier	CDDD	Adult	PRC AUC	0.62818
Weighted	4	XGBClassifier	CDDD	Unknown	PRC AUC	0.62287
Weighted	4	XGBClassifier	CDDD	Adult	PRC AUC	0.537
Weighted	4	XGBClassifier	CDDD	Children	PRC AUC	0.57869
Weighted	4	XGBClassifier	CDDD	Adolescent	PRC AUC	0.64863
Weighted	4	XGBClassifier	CDDD	Elderly	PRC AUC	0.47019
Unweighted	4	XGBClassifier	CDDD	Unknown	PRC AUC	0.6241
Unweighted	4	XGBClassifier	CDDD	Adult	PRC AUC	0.5677
Unweighted	4	XGBClassifier	CDDD	Children	PRC AUC	0.70078
Unweighted	4	XGBClassifier	CDDD	Adolescent	PRC AUC	0.74384
Unweighted	4	XGBClassifier	CDDD	Elderly	PRC AUC	0.52461
Weighted	3	XGBClassifier	CDDD	Elderly	PRC AUC	0.42071
Weighted	3	XGBClassifier	CDDD	Children	PRC AUC	0.55947
Weighted	3	XGBClassifier	CDDD	Adolescent	PRC AUC	0.65742
Weighted	3	XGBClassifier	CDDD	Adult	PRC AUC	0.49944
Weighted	3	XGBClassifier	CDDD	Unknown	PRC AUC	0.56793
Unweighted	3	XGBClassifier	CDDD	Elderly	PRC AUC	0.50955
Unweighted	3	XGBClassifier	CDDD	Children	PRC AUC	0.68683
Unweighted	3	XGBClassifier	CDDD	Adolescent	PRC AUC	0.75195
Unweighted	3	XGBClassifier	CDDD	Adult	PRC AUC	0.57155
Unweighted	3	XGBClassifier	CDDD	Unknown	PRC AUC	0.62076
Weighted	2	XGBClassifier	CDDD	Elderly	PRC AUC	0.50254
Weighted	2	XGBClassifier	CDDD	Children	PRC AUC	0.65987
Weighted	2	XGBClassifier	CDDD	Adolescent	PRC AUC	0.6498
Weighted	2	XGBClassifier	CDDD	Adult	PRC AUC	0.57303
Weighted	2	XGBClassifier	CDDD	Unknown	PRC AUC	0.65278
Unweighted	2	XGBClassifier	CDDD	Elderly	PRC AUC	0.57269
Unweighted	2	XGBClassifier	CDDD	Children	PRC AUC	0.70943
Unweighted	2	XGBClassifier	CDDD	Adolescent	PRC AUC	0.7109
Unweighted	2	XGBClassifier	CDDD	Adult	PRC AUC	0.61489
Unweighted	2	XGBClassifier	CDDD	Unknown	PRC AUC	0.66888
Weighted	1	XGBClassifier	CDDD	Adult	Brier	0.26688
Weighted	1	XGBClassifier	CDDD	Elderly	Brier	0.26559
Weighted	1	XGBClassifier	CDDD	Adolescent	Brier	0.27118
Weighted	1	XGBClassifier	CDDD	Children	Brier	0.29077
Weighted	1	XGBClassifier	CDDD	Unknown	Brier	0.26118
Unweighted	1	XGBClassifier	CDDD	Adult	Brier	0.26688
Unweighted	1	XGBClassifier	CDDD	Elderly	Brier	0.26559
Unweighted	1	XGBClassifier	CDDD	Adolescent	Brier	0.27118
Unweighted	1	XGBClassifier	CDDD	Children	Brier	0.29077
Unweighted	1	XGBClassifier	CDDD	Unknown	Brier	0.26118
Weighted	0	XGBClassifier	CDDD	Adolescent	Brier	0.21222
Weighted	0	XGBClassifier	CDDD	Elderly	Brier	0.28493
Weighted	0	XGBClassifier	CDDD	Unknown	Brier	0.2426
Weighted	0	XGBClassifier	CDDD	Children	Brier	0.25912
Weighted	0	XGBClassifier	CDDD	Adult	Brier	0.27069
Unweighted	0	XGBClassifier	CDDD	Adolescent	Brier	0.21222
Unweighted	0	XGBClassifier	CDDD	Elderly	Brier	0.28493
Unweighted	0	XGBClassifier	CDDD	Unknown	Brier	0.2426
Unweighted	0	XGBClassifier	CDDD	Children	Brier	0.25912
Unweighted	0	XGBClassifier	CDDD	Adult	Brier	0.27069
Weighted	4	XGBClassifier	CDDD	Unknown	Brier	0.2469
Weighted	4	XGBClassifier	CDDD	Adult	Brier	0.25542
Weighted	4	XGBClassifier	CDDD	Children	Brier	0.24316
Weighted	4	XGBClassifier	CDDD	Adolescent	Brier	0.2285
Weighted	4	XGBClassifier	CDDD	Elderly	Brier	0.26455
Unweighted	4	XGBClassifier	CDDD	Unknown	Brier	0.2469
Unweighted	4	XGBClassifier	CDDD	Adult	Brier	0.25542
Unweighted	4	XGBClassifier	CDDD	Children	Brier	0.24316
Unweighted	4	XGBClassifier	CDDD	Adolescent	Brier	0.2285
Unweighted	4	XGBClassifier	CDDD	Elderly	Brier	0.26455
Weighted	3	XGBClassifier	CDDD	Elderly	Brier	0.26979
Weighted	3	XGBClassifier	CDDD	Children	Brier	0.25531
Weighted	3	XGBClassifier	CDDD	Adolescent	Brier	0.24297
Weighted	3	XGBClassifier	CDDD	Adult	Brier	0.2601
Weighted	3	XGBClassifier	CDDD	Unknown	Brier	0.251
Unweighted	3	XGBClassifier	CDDD	Elderly	Brier	0.26979
Unweighted	3	XGBClassifier	CDDD	Children	Brier	0.25531
Unweighted	3	XGBClassifier	CDDD	Adolescent	Brier	0.24297
Unweighted	3	XGBClassifier	CDDD	Adult	Brier	0.2601
Unweighted	3	XGBClassifier	CDDD	Unknown	Brier	0.251
Weighted	2	XGBClassifier	CDDD	Elderly	Brier	0.26379
Weighted	2	XGBClassifier	CDDD	Children	Brier	0.25395
Weighted	2	XGBClassifier	CDDD	Adolescent	Brier	0.24173
Weighted	2	XGBClassifier	CDDD	Adult	Brier	0.25145
Weighted	2	XGBClassifier	CDDD	Unknown	Brier	0.24034
Unweighted	2	XGBClassifier	CDDD	Elderly	Brier	0.26379
Unweighted	2	XGBClassifier	CDDD	Children	Brier	0.25395
Unweighted	2	XGBClassifier	CDDD	Adolescent	Brier	0.24173
Unweighted	2	XGBClassifier	CDDD	Adult	Brier	0.25145
Unweighted	2	XGBClassifier	CDDD	Unknown	Brier	0.24034
