Series	Test_Fold	Model	Descriptors	Age	Metric	Value
Weighted	1	XGBClassifier	CDDD	Adult	Recall	0.58986
Weighted	1	XGBClassifier	CDDD	Elderly	Recall	0.36238
Weighted	1	XGBClassifier	CDDD	Adolescent	Recall	0.67441
Weighted	1	XGBClassifier	CDDD	Children	Recall	0.54759
Weighted	1	XGBClassifier	CDDD	Unknown	Recall	0.66593
Unweighted	1	XGBClassifier	CDDD	Adult	Recall	0.49921
Unweighted	1	XGBClassifier	CDDD	Elderly	Recall	0.28854
Unweighted	1	XGBClassifier	CDDD	Adolescent	Recall	0.62736
Unweighted	1	XGBClassifier	CDDD	Children	Recall	0.49333
Unweighted	1	XGBClassifier	CDDD	Unknown	Recall	0.60048
Weighted	0	XGBClassifier	CDDD	Adolescent	Recall	0.83602
Weighted	0	XGBClassifier	CDDD	Elderly	Recall	0.25856
Weighted	0	XGBClassifier	CDDD	Unknown	Recall	0.73576
Weighted	0	XGBClassifier	CDDD	Children	Recall	0.58648
Weighted	0	XGBClassifier	CDDD	Adult	Recall	0.59979
Unweighted	0	XGBClassifier	CDDD	Adolescent	Recall	0.80278
Unweighted	0	XGBClassifier	CDDD	Elderly	Recall	0.24687
Unweighted	0	XGBClassifier	CDDD	Unknown	Recall	0.68829
Unweighted	0	XGBClassifier	CDDD	Children	Recall	0.58231
Unweighted	0	XGBClassifier	CDDD	Adult	Recall	0.5247
Weighted	4	XGBClassifier	CDDD	Unknown	Recall	0.75277
Weighted	4	XGBClassifier	CDDD	Adult	Recall	0.63357
Weighted	4	XGBClassifier	CDDD	Children	Recall	0.67938
Weighted	4	XGBClassifier	CDDD	Adolescent	Recall	0.82142
Weighted	4	XGBClassifier	CDDD	Elderly	Recall	0.31706
Unweighted	4	XGBClassifier	CDDD	Unknown	Recall	0.66989
Unweighted	4	XGBClassifier	CDDD	Adult	Recall	0.53858
Unweighted	4	XGBClassifier	CDDD	Children	Recall	0.6748
Unweighted	4	XGBClassifier	CDDD	Adolescent	Recall	0.78537
Unweighted	4	XGBClassifier	CDDD	Elderly	Recall	0.2297
Weighted	3	XGBClassifier	CDDD	Elderly	Recall	0.19078
Weighted	3	XGBClassifier	CDDD	Children	Recall	0.58846
Weighted	3	XGBClassifier	CDDD	Adolescent	Recall	0.72536
Weighted	3	XGBClassifier	CDDD	Adult	Recall	0.56677
Weighted	3	XGBClassifier	CDDD	Unknown	Recall	0.68403
Unweighted	3	XGBClassifier	CDDD	Elderly	Recall	0.17705
Unweighted	3	XGBClassifier	CDDD	Children	Recall	0.56061
Unweighted	3	XGBClassifier	CDDD	Adolescent	Recall	0.68
Unweighted	3	XGBClassifier	CDDD	Adult	Recall	0.47009
Unweighted	3	XGBClassifier	CDDD	Unknown	Recall	0.59284
Weighted	2	XGBClassifier	CDDD	Elderly	Recall	0.33603
Weighted	2	XGBClassifier	CDDD	Children	Recall	0.65988
Weighted	2	XGBClassifier	CDDD	Adolescent	Recall	0.75197
Weighted	2	XGBClassifier	CDDD	Adult	Recall	0.62313
Weighted	2	XGBClassifier	CDDD	Unknown	Recall	0.73988
Unweighted	2	XGBClassifier	CDDD	Elderly	Recall	0.32137
Unweighted	2	XGBClassifier	CDDD	Children	Recall	0.57919
Unweighted	2	XGBClassifier	CDDD	Adolescent	Recall	0.69547
Unweighted	2	XGBClassifier	CDDD	Adult	Recall	0.58442
Unweighted	2	XGBClassifier	CDDD	Unknown	Recall	0.69615
Weighted	1	XGBClassifier	CDDD	Adult	Specificity	0.60813
Weighted	1	XGBClassifier	CDDD	Elderly	Specificity	0.72493
Weighted	1	XGBClassifier	CDDD	Adolescent	Specificity	0.31391
Weighted	1	XGBClassifier	CDDD	Children	Specificity	0.30744
Weighted	1	XGBClassifier	CDDD	Unknown	Specificity	0.48118
Unweighted	1	XGBClassifier	CDDD	Adult	Specificity	0.60304
Unweighted	1	XGBClassifier	CDDD	Elderly	Specificity	0.76248
Unweighted	1	XGBClassifier	CDDD	Adolescent	Specificity	0.28814
Unweighted	1	XGBClassifier	CDDD	Children	Specificity	0.39683
Unweighted	1	XGBClassifier	CDDD	Unknown	Specificity	0.47414
Weighted	0	XGBClassifier	CDDD	Adolescent	Specificity	0.23799
Weighted	0	XGBClassifier	CDDD	Elderly	Specificity	0.74768
Weighted	0	XGBClassifier	CDDD	Unknown	Specificity	0.40359
Weighted	0	XGBClassifier	CDDD	Children	Specificity	0.35716
Weighted	0	XGBClassifier	CDDD	Adult	Specificity	0.486
Unweighted	0	XGBClassifier	CDDD	Adolescent	Specificity	0.27564
Unweighted	0	XGBClassifier	CDDD	Elderly	Specificity	0.77671
Unweighted	0	XGBClassifier	CDDD	Unknown	Specificity	0.42392
Unweighted	0	XGBClassifier	CDDD	Children	Specificity	0.39604
Unweighted	0	XGBClassifier	CDDD	Adult	Specificity	0.53675
Weighted	4	XGBClassifier	CDDD	Unknown	Specificity	0.40471
Weighted	4	XGBClassifier	CDDD	Adult	Specificity	0.45575
Weighted	4	XGBClassifier	CDDD	Children	Specificity	0.31155
Weighted	4	XGBClassifier	CDDD	Adolescent	Specificity	0.14266
Weighted	4	XGBClassifier	CDDD	Elderly	Specificity	0.71179
Unweighted	4	XGBClassifier	CDDD	Unknown	Specificity	0.39877
Unweighted	4	XGBClassifier	CDDD	Adult	Specificity	0.48468
Unweighted	4	XGBClassifier	CDDD	Children	Specificity	0.31858
Unweighted	4	XGBClassifier	CDDD	Adolescent	Specificity	0.15152
Unweighted	4	XGBClassifier	CDDD	Elderly	Specificity	0.72614
Weighted	3	XGBClassifier	CDDD	Elderly	Specificity	0.78957
Weighted	3	XGBClassifier	CDDD	Children	Specificity	0.34103
Weighted	3	XGBClassifier	CDDD	Adolescent	Specificity	0.38255
Weighted	3	XGBClassifier	CDDD	Adult	Specificity	0.49929
Weighted	3	XGBClassifier	CDDD	Unknown	Specificity	0.44948
Unweighted	3	XGBClassifier	CDDD	Elderly	Specificity	0.78957
Unweighted	3	XGBClassifier	CDDD	Children	Specificity	0.41304
Unweighted	3	XGBClassifier	CDDD	Adolescent	Specificity	0.37333
Unweighted	3	XGBClassifier	CDDD	Adult	Specificity	0.49718
Unweighted	3	XGBClassifier	CDDD	Unknown	Specificity	0.4507
Weighted	2	XGBClassifier	CDDD	Elderly	Specificity	0.71764
Weighted	2	XGBClassifier	CDDD	Children	Specificity	0.36769
Weighted	2	XGBClassifier	CDDD	Adolescent	Specificity	0.42802
Weighted	2	XGBClassifier	CDDD	Adult	Specificity	0.51801
Weighted	2	XGBClassifier	CDDD	Unknown	Specificity	0.45151
Unweighted	2	XGBClassifier	CDDD	Elderly	Specificity	0.71511
Unweighted	2	XGBClassifier	CDDD	Children	Specificity	0.38947
Unweighted	2	XGBClassifier	CDDD	Adolescent	Specificity	0.29268
Unweighted	2	XGBClassifier	CDDD	Adult	Specificity	0.48502
Unweighted	2	XGBClassifier	CDDD	Unknown	Specificity	0.42167
Weighted	1	XGBClassifier	CDDD	Adult	HarmRS	0.59885
Weighted	1	XGBClassifier	CDDD	Elderly	HarmRS	0.48321
Weighted	1	XGBClassifier	CDDD	Adolescent	HarmRS	0.42842
Weighted	1	XGBClassifier	CDDD	Children	HarmRS	0.39379
Weighted	1	XGBClassifier	CDDD	Unknown	HarmRS	0.55867
Unweighted	1	XGBClassifier	CDDD	Adult	HarmRS	0.54623
Unweighted	1	XGBClassifier	CDDD	Elderly	HarmRS	0.41865
Unweighted	1	XGBClassifier	CDDD	Adolescent	HarmRS	0.3949
Unweighted	1	XGBClassifier	CDDD	Children	HarmRS	0.43985
Unweighted	1	XGBClassifier	CDDD	Unknown	HarmRS	0.52988
Weighted	0	XGBClassifier	CDDD	Adolescent	HarmRS	0.37051
Weighted	0	XGBClassifier	CDDD	Elderly	HarmRS	0.38424
Weighted	0	XGBClassifier	CDDD	Unknown	HarmRS	0.52125
Weighted	0	XGBClassifier	CDDD	Children	HarmRS	0.44395
Weighted	0	XGBClassifier	CDDD	Adult	HarmRS	0.53693
Unweighted	0	XGBClassifier	CDDD	Adolescent	HarmRS	0.41038
Unweighted	0	XGBClassifier	CDDD	Elderly	HarmRS	0.37466
Unweighted	0	XGBClassifier	CDDD	Unknown	HarmRS	0.52469
Unweighted	0	XGBClassifier	CDDD	Children	HarmRS	0.47144
Unweighted	0	XGBClassifier	CDDD	Adult	HarmRS	0.53065
Weighted	4	XGBClassifier	CDDD	Unknown	HarmRS	0.52641
Weighted	4	XGBClassifier	CDDD	Adult	HarmRS	0.53015
Weighted	4	XGBClassifier	CDDD	Children	HarmRS	0.42719
Weighted	4	XGBClassifier	CDDD	Adolescent	HarmRS	0.2431
Weighted	4	XGBClassifier	CDDD	Elderly	HarmRS	0.43871
Unweighted	4	XGBClassifier	CDDD	Unknown	HarmRS	0.49994
Unweighted	4	XGBClassifier	CDDD	Adult	HarmRS	0.51021
Unweighted	4	XGBClassifier	CDDD	Children	HarmRS	0.43282
Unweighted	4	XGBClassifier	CDDD	Adolescent	HarmRS	0.25402
Unweighted	4	XGBClassifier	CDDD	Elderly	HarmRS	0.349
Weighted	3	XGBClassifier	CDDD	Elderly	HarmRS	0.30731
Weighted	3	XGBClassifier	CDDD	Children	HarmRS	0.43181
Weighted	3	XGBClassifier	CDDD	Adolescent	HarmRS	0.50092
Weighted	3	XGBClassifier	CDDD	Adult	HarmRS	0.53089
Weighted	3	XGBClassifier	CDDD	Unknown	HarmRS	0.54249
Unweighted	3	XGBClassifier	CDDD	Elderly	HarmRS	0.28924
Unweighted	3	XGBClassifier	CDDD	Children	HarmRS	0.47564
Unweighted	3	XGBClassifier	CDDD	Adolescent	HarmRS	0.48203
Unweighted	3	XGBClassifier	CDDD	Adult	HarmRS	0.48325
Unweighted	3	XGBClassifier	CDDD	Unknown	HarmRS	0.51209
Weighted	2	XGBClassifier	CDDD	Elderly	HarmRS	0.45773
Weighted	2	XGBClassifier	CDDD	Children	HarmRS	0.47225
Weighted	2	XGBClassifier	CDDD	Adolescent	HarmRS	0.54553
Weighted	2	XGBClassifier	CDDD	Adult	HarmRS	0.56573
Weighted	2	XGBClassifier	CDDD	Unknown	HarmRS	0.56079
Unweighted	2	XGBClassifier	CDDD	Elderly	HarmRS	0.44345
Unweighted	2	XGBClassifier	CDDD	Children	HarmRS	0.46575
Unweighted	2	XGBClassifier	CDDD	Adolescent	HarmRS	0.41199
Unweighted	2	XGBClassifier	CDDD	Adult	HarmRS	0.5301
Unweighted	2	XGBClassifier	CDDD	Unknown	HarmRS	0.52521
Weighted	1	XGBClassifier	CDDD	Adult	ROC AUC	0.6071
Weighted	1	XGBClassifier	CDDD	Elderly	ROC AUC	0.56432
Weighted	1	XGBClassifier	CDDD	Adolescent	ROC AUC	0.49837
Weighted	1	XGBClassifier	CDDD	Children	ROC AUC	0.41007
Weighted	1	XGBClassifier	CDDD	Unknown	ROC AUC	0.59634
Unweighted	1	XGBClassifier	CDDD	Adult	ROC AUC	0.54537
Unweighted	1	XGBClassifier	CDDD	Elderly	ROC AUC	0.53749
Unweighted	1	XGBClassifier	CDDD	Adolescent	ROC AUC	0.46498
Unweighted	1	XGBClassifier	CDDD	Children	ROC AUC	0.4297
Unweighted	1	XGBClassifier	CDDD	Unknown	ROC AUC	0.55446
Weighted	0	XGBClassifier	CDDD	Adolescent	ROC AUC	0.60439
Weighted	0	XGBClassifier	CDDD	Elderly	ROC AUC	0.5149
Weighted	0	XGBClassifier	CDDD	Unknown	ROC AUC	0.61388
Weighted	0	XGBClassifier	CDDD	Children	ROC AUC	0.49044
Weighted	0	XGBClassifier	CDDD	Adult	ROC AUC	0.54723
Unweighted	0	XGBClassifier	CDDD	Adolescent	ROC AUC	0.57881
Unweighted	0	XGBClassifier	CDDD	Elderly	ROC AUC	0.5179
Unweighted	0	XGBClassifier	CDDD	Unknown	ROC AUC	0.60018
Unweighted	0	XGBClassifier	CDDD	Children	ROC AUC	0.49773
Unweighted	0	XGBClassifier	CDDD	Adult	ROC AUC	0.53192
Weighted	4	XGBClassifier	CDDD	Unknown	ROC AUC	0.63661
Weighted	4	XGBClassifier	CDDD	Adult	ROC AUC	0.58076
Weighted	4	XGBClassifier	CDDD	Children	ROC AUC	0.53925
Weighted	4	XGBClassifier	CDDD	Adolescent	ROC AUC	0.58471
