Dataset	DPA	PT	Agreement
Mono	IC	Cred	55.83
Primary	IC	Card	67.06
Secondary	IC	Cred	69.88
Mono	PRR	Cvas	59.87
Mono	PRR	Card	57.99
Primary	PRR	Cvas	67.97
Secondary	PRR	Card	70.36
Mono	ROR	Cred	49.82
Secondary	ROR	Cvas	54.55
Primary	ROR	Card	48.69
Mono	IC	Card	57.99
Mono	ROR	Cvas	50.32
Secondary	ROR	Cred	54.92
Secondary	ROR	Card	54.03
Secondary	PRR	Cred	69.88
Primary	IC	Cred	68.15
Primary	PRR	Card	67.06
Primary	ROR	Cvas	50.84
Primary	PRR	Cred	68.15
Mono	ROR	Card	50.0
Secondary	IC	Cvas	71.57
Mono	PRR	Cred	55.83
Secondary	IC	Card	70.36
Primary	IC	Cvas	67.97
Secondary	PRR	Cvas	71.57
Mono	IC	Cvas	59.87
Primary	ROR	Cred	56.25
