Category	Sub-category	Specificity	Recall	RS ratio	Mean LW	Entries	Contribution	Total Entries	Total Contribution	Fraction Toxic	Adjusted Fraction Toxic
Sex	Unknown	0.45575	0.6140800000000001	1.347	0.294	5985	1759.59	10181	3589.046	0.588	0.49
Sex	Male	0.702834	0.328966	0.468	0.266	4312	1146.992	7891	2660.909	0.546	0.43100000000000005
Sex	Female	0.455692	0.600978	1.319	0.263	4884	1284.492	8201	2644.462	0.596	0.48600000000000004
Age	Elderly	0.7540020000000001	0.252706	0.335	0.287	3324	954.098	6383	2256.3634582459927	0.52076	0.42284999999999995
Age	Adult	0.521334	0.5234	1.004	0.271	4073	1105.798	7183	2412.3888214230537	0.56703	0.45838
Age	Unknown	0.43384	0.64953	1.497	0.324	5171	1676.062	8895	3374.565436601639	0.58134	0.49667
Age	Children	0.38279199999999997	0.578048	1.51	0.166	1297	214.743	1925	418.6040835082531	0.67377	0.513
Age	Adolescent	0.276262	0.7181960000000001	2.6	0.181	1316	237.955	1887	428.9506405889988	0.6973999999999999	0.55474
Weight	Average	0.590014	0.42908799999999997	0.727	0.22	3188	701.965	5498	1619.3765372037888	0.57985	0.43348
Weight	Unknown	0.33425399999999994	0.7570159999999999	2.265	0.365	6107	2227.296	10296	4209.207739830017	0.59314	0.52915
Weight	High	0.733828	0.30696	0.418	0.215	2813	605.802	5073	1505.8958087712526	0.5545	0.40229
Weight	Low	0.648964	0.38351999999999997	0.591	0.213	3073	653.593	5406	1556.3924529105425	0.5684400000000001	0.41994
